****			
FIGNO: MTC151371			
XPROP: carrier density			
XUNIT: E+18/cm3			
YPROP: Tc			
YUNIT: K			
PPROP: reference number			
PUNIT:			
SAMPLE: InN			
****			

XDATA	YDATA	PDATA	NUMBER
670 	2.93 	1	1
592 	2.77 	1	2
691 	2.79 	1	3
463 	2.30 	1	4
470 	1.26 	1	5
319 	0.80 	1	6
639 	0.93 	1	7
470 	0.59 	1	8
261 	0.01 	1	9
422 	0.00 	1	10
985 	0.00 	1	11
649 	0.21 	1	12
50 	2.16 	2	1
201 	1.95 	2	2
79.8 	1.34 	2	3
19.9 	0.00 	2	4
201.2 	0.39 	2	5
701.4 	0.19 	2	6
47.2 	3.00 	3	1
6.2 	2.30 	3	2
11.1 	1.59 	3	3
25.9 	1.89 	3	4
67.3 	1.80 	3	5
0.5 	0.48 	4	1
0.6 	2.51 	4	2
7.8 	1.19 	4	3
7.8 	2.81 	4	4
39.9 	2.90 	4	5
