****			
FIGNO: MTC151432			
XPROP: P			
XUNIT: Gpa			
YPROP: Tc			
YUNIT: K			
PPROP: pressure medium			
"PUNIT: 1  Daphne7474,  2 Daphne7373, 3  Stycast1266"			
SAMPLE: SrFe2As2			
****			

XDATA	YDATA	PDATA	NUMBER
4.12 	18.11 	1	1
4.18 	20.08 	1	2
4.35 	27.95 	1	3
4.39 	29.53 	1	4
4.47 	29.92 	1	5
3.47 	2.76 	2	1
3.57 	26.77 	2	2
3.78 	34.25 	2	3
3.84 	33.86 	2	4
4.04 	33.07 	2	5
4.14 	30.71 	2	6
4.27 	30.32 	2	7
3.26 	6.30 	3	1
3.33 	21.26 	3	2
3.40 	28.35 	3	3
3.53 	33.07 	3	4
3.60 	33.07 	3	5
3.64 	32.68 	3	6
3.90 	30.71 	3	7
