****			
FIGNO: MTC152110			
XPROP: Gd-content			
XUNIT: x  in Er1-xGdxRh4B4			
"YPROP: Tc, Tn"			
YUNIT: K			
"PPROP: Tc, Tn"			
PUNIT:			
SAMPLE: Er1-xGdxRh4B4			
****			

XDATA	YDATA	PDATA	NUMBER
0.000 	8.69 	Tc	1
0.021 	8.24 	Tc	2
0.030 	8.05 	Tc	3
0.050 	7.64 	Tc	4
0.091 	6.88 	Tc	5
0.000 	8.67 	Tc	6
0.016 	8.22 	Tc	7
0.020 	7.85 	Tc	8
0.045 	7.53 	Tc	9
0.086 	6.74 	Tc	10
0.197 	4.20 	Tc	11
0.238 	3.60 	Tc	12
0.258 	2.49 	Tc	13
0.000 	0.81 	Tn	1
0.021 	0.93 	Tn	2
0.030 	0.96 	Tn	3
0.050 	1.06 	Tn	4
0.091 	1.34 	Tn	5
0.000 	0.77 	Tn	6
0.014 	0.86 	Tn	7
0.027 	0.91 	Tn	8
0.049 	0.96 	Tn	9
0.090 	1.19 	Tn	10
0.197 	1.58 	Tn	11
0.240 	1.60 	Tn	12
0.258 	1.93 	Tn	13
0.277 	2.25 	Tn	14
0.646 	3.90 	Tn	15
0.994 	5.65 	Tn	16
