****			
FIGNO: MTC152411			
XPROP: P			
XUNIT: Gpa			
YPROP: Tc			
YUNIT: K			
PPROP: 			
PUNIT:			
SAMPLE: BaFe2As2			
****			

XDATA	YDATA	PDATA	NUMBER
0.70 	21.70 	1	1
0.99 	34.02 	1	2
3.60 	30.63 	1	3
4.99 	28.57 	1	4
6.56 	25.63 	1	5
7.95 	23.13 	1	6
8.30 	23.13 	1	7
15.90 	9.82 	1	8
20.89 	9.91 	1	9
29.88 	10.00 	1	10



****			
FIGNO: LAT152411			
XPROP: P			
XUNIT: Gpa			
YPROP: lattice parameter			
YUNIT: A			
PPROP: 			
PUNIT:			
SAMPLE: BaFe2As2			
****			

XDATA	YDATA	PDATA	NUMBER
0.72 	3.9597 	a	1
0.86 	3.9432 	a	2
1.87 	3.9273 	a	3
3.53 	3.9159 	a	4
5.12 	3.8852 	a	5
8.94 	3.8915 	a	6
10.88 	3.9256 	a	7
12.90 	3.9580 	a	8
14.34 	3.9688 	a	9
15.86 	3.9813 	a	10
16.43 	3.9835 	a	11
18.67 	3.9818 	a	12
21.69 	3.9807 	a	13
23.21 	3.9705 	a	14
25.73 	3.9665 	a	15
27.32 	3.9443 	a	16
30.27 	3.9324 	a	17
35.46 	3.9148 	a	18
0.14 	12.9804 	c	1
0.72 	13.0196 	c	2
1.01 	12.9608 	c	3
1.87 	12.8039 	c	4
3.46 	12.6471 	c	5
5.12 	12.5490 	c	6
8.86 	11.8824 	c	7
10.81 	11.4902 	c	8
12.68 	11.0196 	c	9
14.27 	10.7647 	c	10
15.78 	10.5882 	c	11
16.29 	10.6078 	c	12
18.52 	10.3725 	c	13
21.69 	10.2745 	c	14
23.14 	10.2157 	c	15
25.73 	10.0980 	c	16
27.32 	10.0588 	c	17
30.27 	9.9804 	c	18
35.39 	9.8039 	c	19
