****			
FIGNO: MTC154516			
XPROP: P			
XUNIT: kbar			
YPROP: Tc			
YUNIT: K			
PPROP: Na-content			
PUNIT: x  in Ba1-xNaxFe2As2			
sample: Ba1-xNaxFe2As2			
****			
			
XDATA	YDATA	PDATA	NUMBER
P	Tc	x	
1.07 	23.44 	0.3	1
2.94 	22.94 	0.3	2
5.90 	22.14 	0.3	3
10.75 	21.03 	0.3	4
0.76 	33.03 	0.35	1
5.17 	32.86 	0.35	2
7.64 	32.63 	0.35	3
10.91 	32.39 	0.35	4
3.14 	33.49 	0.4	1
5.99 	33.26 	0.4	2
9.67 	32.87 	0.4	3
11.77 	32.82 	0.4	4
1.29 	32.59 	0.5	1
3.59 	32.43 	0.5	2
6.25 	32.14 	0.5	3
10.12 	31.66 	0.5	4
