****			
FIGNO: MTC156443			
XPROP: P			
XUNIT: kbar			
YPROP: Tc			
YUNIT: K			
PPROP: definition			
PUNIT: 			
sample: PbTaSe2			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.01 	3.759 	onset	1
4.67 	3.434 	onset	2
9.77 	2.771 	onset	3
14.46 	2.967 	onset	4
19.76 	3.399 	onset	5
24.65 	3.596 	onset	6
0.00 	3.458 	0.9Rn	1
4.70 	2.997 	0.9Rn	2
9.79 	2.656 	0.9Rn	3
14.51 	2.796 	0.9Rn	4
19.82 	2.951 	0.9Rn	5
24.64 	3.011 	0.9Rn	6
0.00 	3.269 	0.5Rn	1
4.67 	2.752 	0.5Rn	2
9.77 	2.562 	0.5Rn	3
14.51 	2.673 	0.5Rn	4
19.79 	2.800 	0.5Rn	5
24.60 	2.874 	0.5Rn	6
0.00 	3.064 	0Rn	1
4.70 	2.545 	0Rn	2
9.82 	2.396 	0Rn	3
14.51 	2.482 	0Rn	4
19.83 	2.590 	0Rn	5
24.65 	2.700 	0Rn	6
