****			
FIGNO: MTC157511			
XPROP: P			
XUNIT: GPa			
YPROP: Tc			
YUNIT: K			
PPROP: 			
PUNIT: 			
SAMPLE: D2S			
****			
			
XDATA	YDATA	PDATA	NUMBER
138.3 	76.6 	1	1
140.0 	94.5 	1	2
145.1 	110.0 	1	3
154.5 	125.6 	1	4
161.8 	143.1 	1	5
140.8 	91.9 	1	6
154.8 	130.4 	1	7
154.6 	138.5 	1	8
154.9 	147.6 	1	9
173.0 	152.6 	1	10
184.1 	149.3 	1	11
200.4 	145.9 	1	12
217.0 	142.1 	1	13
217.0 	140.4 	1	14
242.0 	138.0 	1	15
242.0 	132.8 	1	16
256.3 	130.5 	1	17
256.0 	126.3 	1	18
