****			
FIGNO: MTC158429			
XPROP: P			
XUNIT:  kbar			
"YPROP: Tc, T*"			
YUNIT: K			
PPROP: 			
PUNIT: 			
SAMPLE:  (CaxSr1-x)3Rh4Sn13			
****			
			
XDATA	YDATA	PDATA	NUMBER
-67.81 	135.8 	T*(x=0)	1
-63.87 	127.2 	T*(x=0)	2
-61.86 	124.3 	T*(x=0)	3
-55.51 	113.8 	T*(x=0)	4
-53.81 	104.9 	T*(x=0)	5
-52.99 	100.1 	T*(x=0)	6
-50.81 	95.6 	T*(x=0)	7
-48.74 	91.1 	T*(x=0)	8
-47.63 	88.1 	T*(x=0)	9
-51.09 	87.3 	T*(x=0.25)	1
-33.87 	55.3 	T*(x=0.5)	1
-29.83 	49.5 	T*(x=0.5)	2
-27.88 	46.8 	T*(x=0.5)	3
-21.24 	37.1 	T*(x=0.5)	4
-19.80 	30.1 	T*(x=0.5)	5
-16.90 	27.6 	T*(x=0.75)	1
			
-68.30 	13.7271	3Tc(x=0)	1
-64.12 	14.5688	3Tc(x=0)	2
-61.93 	13.4403	3Tc(x=0)	3
-55.17 	13.0486	3Tc(x=0)	4
-53.73 	14.0234	3Tc(x=0)	5
-51.69 	14.3859	3Tc(x=0)	6
-49.03 	14.3859	3Tc(x=0)	7
-47.41 	15.0644	3Tc(x=0)	8
-50.44 	14.7114	3Tc(x=0.25)	1
-34.13 	19.1096	3Tc(x=0.5)	1
-29.77 	19.7116	3Tc(x=0.5)	2
-27.92 	20.5241	3Tc(x=0.5)	3
-20.91 	21.7188	3Tc(x=0.5)	4
-19.49 	21.9387	3Tc(x=0.5)	5
-14.53 	22.3689	3Tc(x=0.5)	6
-13.42 	22.5888	3Tc(x=0.5)	7
-16.64 	22.6747	3Tc(x=0.75)	1
-6.78 	22.9719	3Tc(x=0.9)	1
0.49 	23.2776	3Tc(x=1)	1
4.55 	23.4975	3Tc(x=1)	2
6.23 	23.2682	3Tc(x=1)	3
12.87 	22.5794	3Tc(x=1)	4
14.05 	22.5794	3Tc(x=1)	5
15.56 	22.4265	3Tc(x=1)	6
18.04 	21.9868	3Tc(x=1)	7
19.65 	21.7669	3Tc(x=1)	8
21.08 	21.3083	3Tc(x=1)	9
