---------			
FIGNO:MTC42007			
XPROP:C/Mo ratio			
XUNIT:			
YPROP:Tc			
YUNIT:K			
PPROP:B-content			
PUNIT:y in MoByCx			
---------			
xdata	ydata	pdata	number
0.7	11.11	0.01	1
0.72	11.41	0.01	2
0.73	11.51	0.01	3
0.74	11.62	0.01	4
0.76	11.84	0.01	5
0.78	12	0.01	6
0.79	12.05	0.01	7
0.8	12.11	0.01	8
0.82	12.21	0.01	9
0.7	10.71	0.03	1
0.72	11.01	0.03	2
0.73	11.11	0.03	3
0.74	11.22	0.03	4
0.76	11.42	0.03	5
0.78	11.6	0.03	6
0.79	11.65	0.03	7
0.8	11.71	0.03	8
0.82	11.8	0.03	9
0.7	10.42	0.05	1
0.72	10.71	0.05	2
0.73	10.82	0.05	3
0.74	10.92	0.05	4
0.76	11.1	0.05	5
0.78	11.26	0.05	6
0.79	11.36	0.05	7
0.8	11.4	0.05	8
0.82	11.5	0.05	9
