****			
FIGNO: MTHC151084			
XPROP: T2			
XUNIT: K2			
YPROP: k/T			
YUNIT: mW/cmK2			
"PPROP: 1 Fig.1, 2 Fig.2"			
PUNIT:			
****			

XDATA	YDATA	PDATA	NUMBER
0.0623 	0.764 	1	1
0.0663 	0.785 	1	2
0.0701 	0.802 	1	3
0.0733 	0.818 	1	4
0.0767 	0.851 	1	5
0.0809 	0.889 	1	6
0.0840 	0.927 	1	7
0.0874 	0.955 	1	8
0.0910 	0.998 	1	9
0.0945 	1.015 	1	10
0.0979 	1.053 	1	11
0.1037 	1.129 	1	12
0.1094 	1.173 	1	13
0.1149 	1.260 	1	14
0.1204 	1.320 	1	15
0.1315 	1.445 	1	16
0.1423 	1.620 	1	17
0.1529 	1.767 	1	18
0.1635 	1.931 	1	19
0.1795 	2.116 	1	20
0.1954 	2.335 	1	21
0.9104 	5.793 	2	1
0.8560 	5.854 	2	2
0.8032 	5.854 	2	3
0.7504 	5.839 	2	4
0.7008 	5.824 	2	5
0.6496 	5.778 	2	6
0.6192 	5.701 	2	7
0.5888 	5.609 	2	8
0.5584 	5.471 	2	9
0.5296 	5.395 	2	10
0.5008 	5.257 	2	11
0.4704 	5.057 	2	12
0.4464 	4.874 	2	13
0.4208 	4.720 	2	14
0.3904 	4.475 	2	15
0.3632 	4.276 	2	16
0.3312 	4.000 	2	17
0.3056 	3.739 	2	18
0.2800 	3.448 	2	19
0.2624 	3.203 	2	20
0.2480 	3.019 	2	21
0.2288 	2.774 	2	22
0.2112 	2.559 	2	23
0.1952 	2.345 	2	24
0.1808 	2.130 	2	25
0.1648 	1.931 	2	26
0.1536 	1.762 	2	27
0.1440 	1.625 	2	28
0.1328 	1.456 	2	29
0.1216 	1.318 	2	30
0.1152 	1.272 	2	31
0.1136 	1.211 	2	32
0.1056 	1.149 	2	33
0.0912 	1.011 	2	34
0.0800 	0.874 	2	35
0.0640 	0.782 	2	36
