****			
FIGNO: MTHC155198			
XPROP: T			
XUNIT: K			
YPROP: THC			
YUNIT: W/m.K			
PPROP: 			
PUNIT: 			
sample: Bi3O2S3			
****			
			
XDATA	YDATA	PDATA	NUMBER
2.68 	0.075 	1	1
2.68 	0.144 	1	2
3.49 	0.201 	1	3
5.11 	0.254 	1	4
6.77 	0.312 	1	5
6.77 	0.369 	1	6
11.14 	0.465 	1	7
14.3 	0.638 	1	8
16.5 	0.767 	1	9
21.2 	0.894 	1	10
26.1 	1.000 	1	11
31.7 	1.136 	1	12
39.1 	1.237 	1	13
47.4 	1.395 	1	14
56.2 	1.484 	1	15
63.5 	1.569 	1	16
71.5 	1.647 	1	17
79.7 	1.712 	1	18
88.8 	1.790 	1	19
96.5 	1.832 	1	20
104.2 	1.844 	1	21
113.8 	1.912 	1	22
123.9 	1.959 	1	23
131.4 	1.995 	1	24
138.6 	2.023 	1	25
147.7 	2.046 	1	26
155.7 	2.105 	1	27
163.8 	2.128 	1	28
172.5 	2.159 	1	29
181.3 	2.198 	1	30
190.4 	2.240 	1	31
197.3 	2.275 	1	32
207.5 	2.275 	1	33
215.6 	2.387 	1	34
222.3 	2.415 	1	35
230.9 	2.465 	1	36
240.3 	2.535 	1	37
247.9 	2.622 	1	38
256.8 	2.668 	1	39
265.4 	2.722 	1	40
273.4 	2.777 	1	41
281.8 	2.893 	1	42
289.8 	2.978 	1	43
297.9 	3.085 	1	44
