****			
FIGNO: MTHC157921			
XPROP: T			
XUNIT: K			
YPROP: k (thermal conductivity)			
YUNIT: W/m.K			
PPROP: 			
PUNIT: 			
SAMPLE: Cu0.04PdTe2			
****			
			
XDATA	YDATA	PDATA	NUMBER
3.09 	3.71 	1	1
3.98 	5.20 	1	2
5.31 	6.87 	1	3
6.44 	8.27 	1	4
7.03 	9.74 	1	5
8.11 	11.09 	1	6
9.56 	12.20 	1	7
9.99 	13.30 	1	8
11.58 	14.31 	1	9
12.37 	15.16 	1	10
13.68 	15.83 	1	11
14.85 	16.35 	1	12
15.3 	16.89 	1	13
16.9 	17.09 	1	14
18.5 	17.48 	1	15
22.1 	17.46 	1	16
24.3 	17.41 	1	17
26.4 	17.26 	1	18
27.7 	17.26 	1	19
29.8 	17.22 	1	20
31.4 	17.19 	1	21
34.6 	17.19 	1	22
36.6 	17.36 	1	23
39.0 	17.52 	1	24
42.1 	17.72 	1	25
44.3 	17.93 	1	26
46.8 	18.12 	1	27
49.4 	18.27 	1	28
51.5 	18.36 	1	29
55.1 	18.32 	1	30
57.2 	18.31 	1	31
60.9 	18.35 	1	32
62.6 	18.46 	1	33
67.0 	18.54 	1	34
70.9 	18.57 	1	35
73.5 	18.50 	1	36
76.9 	18.64 	1	37
78.9 	18.78 	1	38
82.6 	18.67 	1	39
85.6 	18.56 	1	40
89.0 	18.40 	1	41
94.4 	18.32 	1	42
99.0 	18.10 	1	43
102.2 	18.01 	1	44
105.9 	17.88 	1	45
108.3 	17.77 	1	46
111.7 	17.62 	1	47
115.3 	17.54 	1	48
119.6 	17.44 	1	49
124.0 	17.28 	1	50
127.5 	17.20 	1	51
130.4 	17.08 	1	52
133.4 	16.89 	1	53
136.0 	16.85 	1	54
140.0 	16.70 	1	55
143.7 	16.59 	1	56
147.7 	16.46 	1	57
150.3 	16.53 	1	58
154.9 	16.39 	1	59
157.0 	16.39 	1	60
159.8 	16.26 	1	61
162.5 	16.13 	1	62
165.2 	16.22 	1	63
168.2 	16.06 	1	64
171.1 	15.96 	1	65
174.8 	16.03 	1	66
177.2 	16.03 	1	67
180.3 	15.96 	1	68
183.6 	15.83 	1	69
187.4 	15.83 	1	70
189.1 	15.83 	1	71
193.2 	15.75 	1	72
196.8 	15.75 	1	73
199.2 	15.65 	1	74
202.6 	15.61 	1	75
205.6 	15.57 	1	76
209.0 	15.53 	1	77
211.1 	15.65 	1	78
215.1 	15.43 	1	79
219.0 	15.47 	1	80
222.1 	15.51 	1	81
226.3 	15.29 	1	82
230.2 	15.25 	1	83
233.7 	15.25 	1	84
239.1 	15.29 	1	85
242.3 	15.18 	1	86
245.2 	15.15 	1	87
247.4 	15.15 	1	88
250.4 	15.19 	1	89
253.7 	15.19 	1	90
257.8 	15.15 	1	91
262.4 	15.15 	1	92
265.6 	15.15 	1	93
269.8 	15.07 	1	94
271.8 	15.11 	1	95
276.2 	15.15 	1	96
279.4 	15.19 	1	97
283.6 	15.24 	1	98
287.1 	15.24 	1	99
290.2 	15.28 	1	100
293.3 	15.28 	1	101
296.3 	15.32 	1	102
298.7 	15.39 	1	103
