****			
FIGNO: MTHC158179			
XPROP: T			
XUNIT: K			
YPROP: THC			
YUNIT: W/K.m			
"PPROP: cooling, warming"			
PUNIT: 			
SAMPLE: IrTe2			
****			
			
XDATA	YDATA	PDATA	NUMBER
1.94 	0.85 	cooling	1
3.32 	1.13 	cooling	2
4.11 	1.29 	cooling	3
4.89 	1.49 	cooling	4
4.89 	1.81 	cooling	5
6.45 	2.18 	cooling	6
7.70 	2.50 	cooling	7
9.08 	2.85 	cooling	8
9.55 	3.13 	cooling	9
10.46 	3.35 	cooling	10
10.46 	3.67 	cooling	11
12.62 	3.99 	cooling	12
12.62 	4.19 	cooling	13
13.07 	4.48 	cooling	14
14.32 	4.76 	cooling	15
14.64 	5.00 	cooling	16
16.5 	5.33 	cooling	17
16.8 	5.62 	cooling	18
18.2 	5.82 	cooling	19
19.5 	6.18 	cooling	20
20.4 	6.47 	cooling	21
22.3 	6.78 	cooling	22
23.1 	7.24 	cooling	23
24.9 	7.58 	cooling	24
26.3 	7.86 	cooling	25
27.9 	8.20 	cooling	26
28.8 	8.35 	cooling	27
30.8 	8.62 	cooling	28
32.6 	8.86 	cooling	29
34.9 	9.24 	cooling	30
37.2 	9.44 	cooling	31
40.7 	9.74 	cooling	32
43.0 	9.94 	cooling	33
45.3 	10.09 	cooling	34
48.0 	10.38 	cooling	35
50.8 	10.53 	cooling	36
53.9 	10.66 	cooling	37
57.7 	10.83 	cooling	38
61.8 	11.03 	cooling	39
65.7 	11.24 	cooling	40
70.2 	11.33 	cooling	41
74.6 	11.48 	cooling	42
77.8 	11.69 	cooling	43
81.7 	11.84 	cooling	44
85.6 	11.94 	cooling	45
88.2 	11.94 	cooling	46
90.4 	11.99 	cooling	47
93.8 	11.99 	cooling	48
96.8 	12.12 	cooling	49
99.6 	12.22 	cooling	50
103.6 	12.22 	cooling	51
106.8 	12.30 	cooling	52
110.4 	12.31 	cooling	53
113.4 	12.31 	cooling	54
116.6 	12.39 	cooling	55
119.4 	12.44 	cooling	56
123.8 	12.49 	cooling	57
128.0 	12.55 	cooling	58
131.7 	12.60 	cooling	59
137.2 	12.63 	cooling	60
140.7 	12.63 	cooling	61
144.9 	12.68 	cooling	62
149.1 	12.81 	cooling	63
152.8 	12.86 	cooling	64
156.7 	12.91 	cooling	65
160.8 	12.96 	cooling	66
163.3 	12.96 	cooling	67
167.2 	12.96 	cooling	68
170.0 	12.96 	cooling	69
172.6 	12.96 	cooling	70
175.7 	12.96 	cooling	71
178.8 	12.96 	cooling	72
182.2 	12.98 	cooling	73
185.8 	13.03 	cooling	74
188.4 	13.08 	cooling	75
190.4 	13.08 	cooling	76
193.3 	13.13 	cooling	77
195.6 	13.13 	cooling	78
198.3 	13.16 	cooling	79
200.0 	13.30 	cooling	80
202.8 	13.40 	cooling	81
205.4 	13.48 	cooling	82
209.5 	13.64 	cooling	83
213.7 	13.74 	cooling	84
216.3 	13.74 	cooling	85
219.0 	13.84 	cooling	86
221.8 	13.94 	cooling	87
224.1 	14.11 	cooling	88
225.9 	14.30 	cooling	89
227.9 	14.50 	cooling	90
230.4 	14.77 	cooling	91
232.7 	14.98 	cooling	92
234.6 	15.39 	cooling	93
239.1 	15.67 	cooling	94
240.2 	15.95 	cooling	95
242.7 	16.09 	cooling	96
245.0 	16.31 	cooling	97
246.9 	16.47 	cooling	98
249.8 	16.66 	cooling	99
253.3 	16.77 	cooling	100
256.9 	16.86 	cooling	101
261.4 	17.07 	cooling	102
264.4 	17.12 	cooling	103
267.6 	17.16 	cooling	104
271.4 	17.24 	cooling	105
276.0 	17.30 	cooling	106
279.1 	17.48 	cooling	107
283.6 	17.61 	cooling	108
286.7 	17.61 	cooling	109
290.5 	17.76 	cooling	110
293.4 	17.91 	cooling	111
297.6 	17.96 	cooling	112
301.2 	18.01 	cooling	113
303.7 	18.11 	cooling	114
306.5 	18.11 	cooling	115
309.1 	18.27 	cooling	116
311.5 	18.37 	cooling	117
315.4 	18.38 	cooling	118
319.6 	18.43 	cooling	119
321.9 	18.47 	cooling	120
324.6 	18.61 	cooling	121
327.8 	18.69 	cooling	122
330.1 	18.69 	cooling	123
332.9 	18.69 	cooling	124
334.2 	18.74 	cooling	125
338.0 	18.82 	cooling	126
341.6 	18.93 	cooling	127
343.9 	19.04 	cooling	128
346.3 	19.09 	cooling	129
348.9 	19.24 	cooling	130
352.9 	19.24 	cooling	131
354.7 	19.33 	cooling	132
356.2 	19.33 	cooling	133
358.4 	19.48 	cooling	134
361.0 	19.51 	cooling	135
362.5 	19.56 	cooling	136
