---------			
FIGNO:MTP11369			
XPROP:T			
XUNIT:K			
"YPROP:s, k"			
"YUNIT:uV/K,  W/m.K"			
"PPROP:1 for s, 2 for K"			
PUNIT:			

---------			
xdata	ydata	pdata	number
82	1.32	1	1
85.2	1.5	1	2
89.3	1.66	1	3
93.4	1.74	1	4
97.5	1.86	1	5
101.6	1.96	1	6
105.7	2.14	1	7
110.7	2.22	1	8
113.9	2.4	1	9
114.8	2.36	1	10
117.2	2.48	1	11
117.2	2.44	1	12
120.5	2.62	1	13
125.4	2.78	1	14
128.7	2.88	1	15
133.6	3.06	1	16
136.9	3.18	1	17
141.8	3.3	1	18
145.1	3.42	1	19
149.2	3.54	1	20
153.3	3.7	1	21
157.4	3.8	1	22
161.5	3.98	1	23
165.6	4.06	1	24
169.7	4.18	1	25
173	4.28	1	26
177	4.42	1	27
179.5	4.44	1	28
190.2	4.68	1	29
203.3	5.02	1	30
211.5	5.18	1	31
215.6	5.26	1	32
217.2	5.28	1	33
221.3	5.38	1	34
224.6	5.44	1	35
227.9	5.48	1	36
232	5.52	1	37
236.1	5.62	1	38
240.2	5.7	1	39
244.3	5.68	1	40
248.4	5.74	1	41
252.5	5.76	1	42
257.4	5.82	1	43
261.5	5.82	1	44
265.6	5.9	1	45
269.7	5.94	1	46
273.8	5.96	1	47
277.9	6.04	1	48
282	6.06	1	49
286.1	6.06	1	50
291	6.06	1	51
294.3	6.12	1	52
300	6.18	1	53
303.3	6.16	1	54
29.2	4.92	2	1
34.2	5.04	2	2
38.4	5.4	2	3
43	5.59	2	4
47.9	5.79	2	5
55.2	6.06	2	6
64.2	6.35	2	7
73	6.73	2	8
80.1	6.97	2	9
100	7.65	2	10
118.7	8.02	2	11
138.9	8.7	2	12
159.2	9.11	2	13
175.9	9.55	2	14
197.3	9.88	2	15
