---------			
FIGNO:MTP150220			
XPROP:T			
XUNIT:K			
YPROP:s			
YUNIT:uV/K			
PPROP:			
PUNIT:			
---------			
xdata	ydata	pdata	number
9.2	-4.95	1	1
15.2	-8.83	1	2
19.1	-12.37	1	3
25.1	-17.31	1	4
29	-18.73	1	5
29.7	-18.73	1	6
34.3	-21.91	1	7
39.6	-26.15	1	8
44.8	-27.92	1	9
49.5	-28.98	1	10
55.4	-31.45	1	11
60.7	-33.22	1	12
64.6	-33.57	1	13
70.5	-34.63	1	14
75.8	-35.69	1	15
79.8	-35.69	1	16
85.7	-36.4	1	17
90.3	-36.75	1	18
94.3	-37.1	1	19
100.2	-38.52	1	20
106.2	-39.58	1	21
110.1	-39.58	1	22
115.4	-40.28	1	23
120	-40.64	1	24
125.9	-41.34	1	25
129.9	-41.7	1	26
134.5	-42.05	1	27
139.1	-42.76	1	28
145.1	-43.46	1	29
151	-43.82	1	30
155.6	-44.17	1	31
160.2	-44.88	1	32
166.2	-45.58	1	33
170.1	-46.29	1	34
176	-47	1	35
180	-47.7	1	36
185.3	-48.06	1	37
189.2	-49.82	1	38
195.8	-49.82	1	39
201.1	-50.18	1	40
205.1	-50.88	1	41
211	-51.94	1	42
215.6	-51.94	1	43
220.2	-52.3	1	44
226.2	-53.71	1	45
231.4	-54.77	1	46
235.4	-56.18	1	47
240.7	-55.12	1	48
245.3	-56.18	1	49
249.9	-56.54	1	50
255.2	-56.89	1	51
261.1	-58.3	1	52
265.7	-58.66	1	53
269.7	-59.01	1	54
275.6	-60.42	1	55
280.9	-60.07	1	56
285.5	-60.78	1	57
290.1	-61.48	1	58
295.4	-63.25	1	59
