****			
FIGNO:MTP150900			
XPROP:T			
XUNIT:K			
YPROP:TP			
YUNIT:uV/K			
PPROP:			
PUNIT:			

****			
xdata	ydata	pdata	number
35.2 	-3.209 	1	1
40.4 	-3.827 	1	2
45.0 	-4.056 	1	3
50.2 	-4.353 	1	4
54.8 	-4.444 	1	5
60.0 	-4.673 	1	6
65.2 	-4.627 	1	7
69.8 	-4.788 	1	8
75.6 	-4.879 	1	9
80.8 	-4.902 	1	10
85.4 	-4.948 	1	11
90.6 	-4.948 	1	12
94.6 	-4.993 	1	13
100.4 	-5.016 	1	14
106.2 	-5.016 	1	15
110.2 	-5.016 	1	16
115.4 	-5.039 	1	17
120.0 	-4.993 	1	18
125.2 	-5.062 	1	19
130.4 	-5.062 	1	20
135.6 	-5.108 	1	21
139.6 	-5.131 	1	22
144.8 	-5.199 	1	23
149.4 	-5.199 	1	24
154.6 	-5.176 	1	25
160.4 	-5.268 	1	26
165.0 	-5.268 	1	27
169.6 	-5.314 	1	28
174.8 	-5.337 	1	29
179.4 	-5.405 	1	30
184.6 	-5.359 	1	31
188.7 	-5.405 	1	32
195.0 	-5.451 	1	33
199.6 	-5.497 	1	34
204.8 	-5.542 	1	35
209.4 	-5.542 	1	36
214.6 	-5.588 	1	37
219.8 	-5.588 	1	38
224.4 	-5.680 	1	39
229.6 	-5.680 	1	40
234.8 	-5.680 	1	41
239.4 	-5.703 	1	42
245.2 	-5.703 	1	43
250.4 	-5.771 	1	44
255.6 	-5.588 	1	45
260.2 	-5.771 	1	46
264.2 	-5.725 	1	47
269.4 	-5.794 	1	48
275.8 	-5.748 	1	49
281.0 	-5.703 	1	50
284.4 	-5.634 	1	51
289.6 	-5.680 	1	52
294.8 	-5.588 	1	53
300.0 	-5.588 	1	54
