****			
FIGNO: MTP151713			
XPROP: T			
XUNIT: K			
YPROP: TP			
YUNIT: uV/K			
PPROP: 			
PUNIT:			
SAMPLE: FeSe0.3Te0.7			
****			

XDATA	YDATA	PDATA	NUMBER
7.51 	-0.33 	1	1
7.96 	0.50 	1	2
8.86 	0.17 	1	3
10.2 	-0.08 	1	4
11.4 	-0.08 	1	5
12.9 	-0.17 	1	6
13.7 	-2.33 	1	7
14.4 	-13.42 	1	8
15.3 	-14.58 	1	9
16.1 	-15.08 	1	10
17.0 	-15.50 	1	11
18.0 	-16.25 	1	12
18.9 	-16.50 	1	13
19.7 	-16.75 	1	14
21.6 	-17.25 	1	15
23.1 	-16.83 	1	16
24.6 	-16.83 	1	17
25.8 	-16.58 	1	18
27.8 	-16.25 	1	19
30.0 	-15.42 	1	20
32.3 	-14.83 	1	21
34.5 	-13.92 	1	22
37.1 	-13.17 	1	23
39.3 	-12.00 	1	24
41.7 	-11.33 	1	25
44.3 	-10.00 	1	26
46.2 	-9.33 	1	27
48.6 	-8.33 	1	28
51.2 	-7.42 	1	29
53.5 	-6.42 	1	30
55.9 	-5.67 	1	31
58.0 	-5.00 	1	32
60.5 	-4.17 	1	33
62.8 	-3.08 	1	34
65.2 	-2.67 	1	35
67.6 	-2.00 	1	36
73.0 	-1.00 	1	37
74.9 	-0.42 	1	38
77.3 	0.42 	1	39
79.7 	0.58 	1	40
82.3 	0.92 	1	41
85.0 	1.08 	1	42
87.4 	1.67 	1	43
89.6 	2.00 	1	44
91.7 	2.25 	1	45
95.6 	2.67 	1	46
92.3 	2.33 	1	47
95.1 	2.77 	1	48
100.8 	3.32 	1	49
106.5 	4.02 	1	50
111.0 	4.62 	1	51
115.4 	5.00 	1	52
120.3 	5.17 	1	53
125.6 	5.44 	1	54
129.7 	5.49 	1	55
135.0 	5.55 	1	56
139.8 	5.93 	1	57
144.7 	6.20 	1	58
150.4 	6.42 	1	59
154.9 	6.53 	1	60
159.4 	6.80 	1	61
164.2 	6.86 	1	62
169.5 	6.96 	1	63
174.0 	7.02 	1	64
178.9 	7.02 	1	65
183.7 	6.96 	1	66
188.6 	7.13 	1	67
193.5 	7.18 	1	68
199.2 	7.29 	1	69
203.7 	7.40 	1	70
209.4 	7.35 	1	71
213.8 	7.51 	1	72
219.1 	7.56 	1	73
224.4 	7.62 	1	74
229.3 	7.67 	1	75
234.1 	7.62 	1	76
239.0 	7.62 	1	77
244.3 	7.51 	1	78
250.0 	7.56 	1	79
254.1 	7.46 	1	80
259.8 	7.62 	1	81
264.6 	7.56 	1	82
269.9 	7.62 	1	83
275.2 	7.84 	1	84
279.7 	7.73 	1	85
284.1 	7.56 	1	86
289.0 	7.62 	1	87
293.9 	7.73 	1	88
299.2 	7.78 	1	89
