****			
FIGNO: MTP1522248			
XPROP: T			
XUNIT: K			
YPROP: TP			
YUNIT: uV/K			
PPROP: 			
PUNIT:			
SAMPLE: Ba02K0.8Fe2As2 			
****			

XDATA	YDATA	PDATA	NUMBER
34.4 	12.35 	1	1
40.5 	13.81 	1	2
44.8 	14.86 	1	3
48.6 	15.49 	1	4
50.5 	16.33 	1	5
56.2 	17.37 	1	6
60.9 	18.21 	1	7
66.6 	18.63 	1	8
71.3 	19.67 	1	9
75.1 	19.88 	1	10
80.3 	20.30 	1	11
85.0 	20.51 	1	12
90.2 	20.93 	1	13
95.9 	21.14 	1	14
100.7 	21.56 	1	15
105.9 	21.56 	1	16
110.6 	21.77 	1	17
115.3 	21.77 	1	18
121.0 	21.77 	1	19
125.8 	21.77 	1	20
130.0 	21.98 	1	21
134.8 	22.19 	1	22
140.4 	22.19 	1	23
145.6 	21.77 	1	24
150.4 	21.56 	1	25
155.6 	21.77 	1	26
160.3 	21.56 	1	27
166.0 	21.35 	1	28
169.8 	21.35 	1	29
174.5 	21.14 	1	30
179.7 	20.93 	1	31
185.4 	20.93 	1	32
190.2 	20.51 	1	33
195.8 	19.88 	1	34
200.1 	19.67 	1	35
204.8 	19.67 	1	36
210.5 	19.05 	1	37
215.2 	19.26 	1	38
220.5 	19.05 	1	39
225.7 	18.84 	1	40
229.9 	18.63 	1	41
234.7 	18.42 	1	42
240.8 	18.63 	1	43
246.0 	18.00 	1	44
255.0 	17.79 	1	45
261.2 	17.37 	1	46
265.9 	17.58 	1	47
270.2 	17.16 	1	48
275.9 	16.33 	1	49
279.6 	16.53 	1	50
284.4 	16.53 	1	51
290.1 	16.53 	1	52
294.8 	16.12 	1	53
300.0 	15.91 	1	54
