****			
FIGNO: MTP153907			
XPROP: T			
XUNIT: K			
YPROP: TP			
YUNIT: uV/K			
PPROP: 			
PUNIT: 			
sample: Mo3Sb7			
****			
			
XDATA	YDATA	PDATA	NUMBER
3.21 	0.816 	1	1
4.59 	0.565 	1	2
3.67 	0.345 	1	3
5.05 	-0.094 	1	4
4.13 	-0.220 	1	5
5.05 	-0.314 	1	6
7.34 	-0.659 	1	7
10.09 	-0.659 	1	8
11.01 	0.031 	1	9
12.39 	-0.408 	1	10
14.68 	-0.314 	1	11
16.5 	-0.063 	1	12
20.2 	-0.533 	1	13
21.6 	-0.345 	1	14
23.9 	-0.157 	1	15
28.4 	0.126 	1	16
30.3 	0.377 	1	17
34.4 	1.475 	1	18
39.0 	1.914 	1	19
43.6 	1.820 	1	20
50.9 	3.232 	1	21
56.9 	4.080 	1	22
63.3 	4.613 	1	23
70.2 	4.833 	1	24
78.9 	5.71 	1	25
86.7 	5.68 	1	26
95.0 	6.12 	1	27
103.2 	5.93 	1	28
111.9 	6.62 	1	29
120.2 	7.28 	1	30
128.0 	7.63 	1	31
136.2 	7.63 	1	32
144.5 	8.06 	1	33
151.8 	8.50 	1	34
157.8 	8.88 	1	35
163.8 	9.19 	1	36
170.2 	9.57 	1	37
176.6 	9.82 	1	38
183.0 	10.04 	1	39
188.5 	10.39 	1	40
194.5 	10.80 	1	41
201.4 	10.14 	1	42
207.3 	10.64 	1	43
213.8 	11.17 	1	44
219.3 	11.42 	1	45
226.1 	11.71 	1	46
232.6 	12.02 	1	47
238.1 	12.49 	1	48
245.0 	12.83 	1	49
250.5 	13.05 	1	50
256.4 	13.46 	1	51
261.0 	13.78 	1	52
266.1 	14.03 	1	53
271.6 	14.22 	1	54
276.1 	14.50 	1	55
282.1 	14.81 	1	56
287.2 	15.16 	1	57
291.7 	15.47 	1	58
296.3 	15.75 	1	59
