****			
FIGNO: MTP154588			
XPROP: T			
XUNIT: K			
YPROP: TP			
YUNIT: uV/K			
PPROP: 			
PUNIT: 			
sample: Sr3Ir4Sn13			
****			
			
XDATA	YDATA	PDATA	NUMBER
10.3 	0.617 	1	1
12.3 	0.758 	1	2
14.2 	0.832 	1	3
16.2 	0.938 	1	4
18.3 	1.04 	1	5
20.5 	1.15 	1	6
23.1 	1.27 	1	7
24.5 	1.41 	1	8
26.5 	1.59 	1	9
28.4 	1.77 	1	10
30.5 	1.92 	1	11
32.7 	2.07 	1	12
34.8 	2.18 	1	13
36.6 	2.28 	1	14
38.5 	2.38 	1	15
40.7 	2.47 	1	16
42.8 	2.58 	1	17
44.8 	2.69 	1	18
47.0 	2.79 	1	19
50.3 	2.99 	1	20
54.1 	3.20 	1	21
58.1 	3.41 	1	22
61.4 	3.63 	1	23
65.5 	3.86 	1	24
68.9 	4.07 	1	25
71.7 	4.28 	1	26
75.1 	4.47 	1	27
78.5 	4.66 	1	28
82.1 	4.88 	1	29
85.3 	5.04 	1	30
88.3 	5.22 	1	31
91.1 	5.35 	1	32
94.3 	5.53 	1	33
97.7 	5.61 	1	34
100.4 	5.68 	1	35
102.5 	5.75 	1	36
105.5 	5.80 	1	37
108.2 	5.82 	1	38
110.5 	5.83 	1	39
114.1 	5.84 	1	40
115.9 	5.75 	1	41
119.3 	5.70 	1	42
121.5 	5.65 	1	43
123.0 	5.52 	1	44
125.8 	5.43 	1	45
128.5 	5.27 	1	46
130.7 	5.13 	1	47
133.5 	4.99 	1	48
136.1 	4.81 	1	49
138.2 	4.60 	1	50
140.4 	4.41 	1	51
142.6 	4.16 	1	52
145.3 	3.91 	1	53
147.3 	3.88 	1	54
150.3 	3.83 	1	55
152.9 	3.79 	1	56
154.8 	3.75 	1	57
157.0 	3.74 	1	58
158.7 	3.72 	1	59
160.8 	3.69 	1	60
163.0 	3.67 	1	61
166.5 	3.62 	1	62
169.4 	3.59 	1	63
172.0 	3.56 	1	64
176.0 	3.56 	1	65
178.0 	3.51 	1	66
180.2 	3.49 	1	67
183.8 	3.47 	1	68
187.8 	3.45 	1	69
190.6 	3.44 	1	70
193.8 	3.41 	1	71
197.2 	3.37 	1	72
200.8 	3.36 	1	73
204.1 	3.36 	1	74
207.5 	3.33 	1	75
211.0 	3.30 	1	76
215.5 	3.28 	1	77
219.9 	3.25 	1	78
223.9 	3.24 	1	79
227.0 	3.22 	1	80
230.3 	3.21 	1	81
233.1 	3.19 	1	82
237.7 	3.14 	1	83
242.1 	3.12 	1	84
243.9 	3.12 	1	85
247.0 	3.09 	1	86
252.2 	3.10 	1	87
256.4 	3.07 	1	88
260.3 	3.06 	1	89
262.8 	3.06 	1	90
266.5 	3.05 	1	91
271.2 	3.01 	1	92
275.0 	3.00 	1	93
277.6 	2.99 	1	94
281.0 	2.99 	1	95
283.8 	2.98 	1	96
286.0 	2.98 	1	97
289.8 	2.99 	1	98
293.4 	2.96 	1	99
296.4 	2.94 	1	100
299.9 	2.94 	1	101
