****			
FIGNO: MTP155198			
XPROP: T			
XUNIT: K			
YPROP: S			
YUNIT: uV/K			
PPROP: 			
PUNIT: 			
sample: Bi3O2S3			
****			
			
XDATA	YDATA	PDATA	NUMBER
7.02 	-0.63 	1	1
7.87 	-1.18 	1	2
7.87 	-1.80 	1	3
9.27 	-2.34 	1	4
12.63 	-2.95 	1	5
15.9 	-3.51 	1	6
21.0 	-4.80 	1	7
25.2 	-5.78 	1	8
31.4 	-7.38 	1	9
39.3 	-8.92 	1	10
46.1 	-11.07 	1	11
53.8 	-12.59 	1	12
62.5 	-14.50 	1	13
71.9 	-15.43 	1	14
78.4 	-16.27 	1	15
82.6 	-17.06 	1	16
90.1 	-17.90 	1	17
95.6 	-18.69 	1	18
104.2 	-19.18 	1	19
113.3 	-20.30 	1	20
121.2 	-21.09 	1	21
128.9 	-21.65 	1	22
138.3 	-22.61 	1	23
146.2 	-23.03 	1	24
153.8 	-23.81 	1	25
162.7 	-24.07 	1	26
171.2 	-24.48 	1	27
180.8 	-24.71 	1	28
188.8 	-25.23 	1	29
196.5 	-25.61 	1	30
206.2 	-25.63 	1	31
213.4 	-26.36 	1	32
222.6 	-26.65 	1	33
231.7 	-26.98 	1	34
238.2 	-27.28 	1	35
248.0 	-27.35 	1	36
255.7 	-27.57 	1	37
264.0 	-27.79 	1	38
272.6 	-28.09 	1	39
280.4 	-28.32 	1	40
287.6 	-28.61 	1	41
297.3 	-28.85 	1	42
