****			
FIGNO: MTP155456			
XPROP: T			
XUNIT: K			
YPROP: TP			
YUNIT: uV/K			
PPROP: 			
PUNIT: 			
sample: (Li0.8Fe0.2)OHFeSe			
****			
			
XDATA	YDATA	PDATA	NUMBER
10.4 	-0.03 	1	1
14.9 	-0.03 	1	2
19.8 	-0.03 	1	3
24.3 	-0.03 	1	4
27.7 	0.12 	1	5
32.9 	-0.28 	1	6
34.1 	-0.55 	1	7
34.7 	-3.00 	1	8
36.4 	-6.54 	1	9
37.0 	-9.96 	1	10
38.2 	-15.06 	1	11
40.2 	-24.3 	1	12
42.0 	-26.5 	1	13
44.4 	-28.7 	1	14
46.0 	-30.3 	1	15
48.1 	-32.5 	1	16
50.9 	-34.0 	1	17
61.4 	-39.0 	1	18
71.1 	-43.1 	1	19
81.0 	-46.9 	1	20
90.9 	-50.1 	1	21
100.5 	-53.8 	1	22
110.6 	-57.0 	1	23
121.0 	-58.2 	1	24
131.1 	-59.1 	1	25
140.5 	-59.4 	1	26
151.1 	-58.8 	1	27
160.8 	-57.2 	1	28
171.1 	-55.3 	1	29
180.6 	-52.6 	1	30
190.1 	-49.2 	1	31
201.0 	-44.9 	1	32
210.7 	-40.5 	1	33
220.1 	-35.9 	1	34
230.8 	-31.6 	1	35
240.2 	-27.19 	1	36
250.5 	-23.44 	1	37
260.1 	-19.96 	1	38
270.4 	-16.68 	1	39
280.2 	-13.39 	1	40
290.7 	-10.21 	1	41
299.5 	-6.97 	1	42
