****			
FIGNO: MTP157127			
XPROP: T			
XUNIT: K			
YPROP: TP			
YUNIT: uV/K			
PPROP: 			
PUNIT: 			
SAMPLE: Bi3.9Ag0.1O4S3			
****			
			
XDATA	YDATA	PDATA	NUMBER
33.64 	-9.79 	1	1
49.02 	-12.25 	1	2
64.63 	-15.01 	1	3
79.12 	-18.12 	1	4
93.85 	-19.92 	1	5
107.37 	-21.00 	1	6
121.48 	-22.72 	1	7
135.86 	-23.97 	1	8
149.82 	-25.89 	1	9
162.13 	-26.70 	1	10
173.87 	-26.88 	1	11
184.01 	-27.75 	1	12
192.70 	-28.16 	1	13
202.54 	-29.48 	1	14
212.83 	-30.13 	1	15
223.43 	-30.98 	1	16
232.70 	-31.84 	1	17
240.71 	-32.22 	1	18
248.74 	-33.10 	1	19
257.08 	-33.10 	1	20
265.12 	-34.01 	1	21
271.52 	-34.72 	1	22
279.21 	-35.20 	1	23
286.38 	-35.71 	1	24
291.78 	-35.81 	1	25
296.81 	-36.37 	1	26
302.49 	-36.71 	1	27
307.19 	-37.18 	1	28
313.40 	-37.79 	1	29
319.13 	-38.21 	1	30
325.28 	-39.30 	1	31
330.28 	-39.51 	1	32
