****			
FIGNO: OHC619			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: T			
PPROP: H-direction			
"PUNIT: a, b', c* "			
sample: (TMTTF)2PF6			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.811 	0.890 	a	1
0.915 	0.787 	a	2
1.012 	0.689 	a	3
1.091 	0.591 	a	4
1.188 	0.490 	a	5
1.328 	0.387 	a	6
1.422 	0.292 	a	7
1.544 	0.191 	a	8
1.677 	0.091 	a	9
1.795 	0.000 	a	10
0.926 	0.691 	b'	1
1.156 	0.591 	b'	2
1.299 	0.490 	b'	3
1.375 	0.385 	b'	4
1.511 	0.289 	b'	5
1.684 	0.184 	b'	6
1.860 	0.086 	b'	7
1.982 	0.000 	b'	8
1.084 	0.137 	c*	1
1.292 	0.086 	c*	2
1.817 	0.000 	c*	3
