****			
FIGNO: OHC643-1			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: T			
PPROP: H-direction (azimuth angle)			
PUNIT: degree			
sample: beta''-(ET)2SF5CH2CF2SO3			
****			
			
XDATA	YDATA	PDATA	NUMBER
1.48 	9.01 	-100	1
1.76 	8.62 	-100	2
2.10 	8.00 	-100	3
2.41 	7.21 	-100	4
2.65 	6.49 	-100	5
3.09 	4.97 	-100	6
3.46 	3.50 	-100	7
3.65 	2.04 	-100	8
3.79 	1.01 	-100	9
4.07 	0.50 	-100	10
4.18 	0.41 	-100	11
4.29 	0.29 	-100	12
4.45 	0.19 	-100	13
4.62 	0.13 	-100	14
5.05 	0.00 	-100	15
1.70 	8.50 	-45	1
1.91 	7.97 	-45	2
2.32 	6.98 	-45	3
2.72 	5.83 	-45	4
3.04 	4.45 	-45	5
3.40 	2.94 	-45	6
3.60 	1.95 	-45	7
3.81 	0.89 	-45	8
4.10 	0.48 	-45	9
4.24 	0.22 	-45	10
4.54 	0.10 	-45	11
5.04 	0.00 	-45	12
1.92 	8.04 	10	1
2.35 	7.06 	10	2
3.00 	5.02 	10	3
3.45 	3.02 	10	4
5.03 	0.04 	10	5
