****			
FIGNO:OTC402			
XPROP:P			
XUNIT:GPa			
YPROP:Tc			
YUNIT:K			
PPROP:			
PUNIT:			
****			
xdata	ydata	pdata	number
0	3.70874	1	1
0.187853	4.71845	1	2
0.375706	7.12621	1	3
0.405367	7.35922	1	4
0.474576	7.12621	1	5
0.484463	7.6699	1	6
0.543785	7.43689	1	7
0.682203	7.90291	1	8
0.701977	8.29126	1	9
0.879943	7.74757	1	10
1.07768	6.50485	1	11
1.25565	5.1068	1	12
1.24576	4.40777	1	13
1.71045	4.79612	1	14
1.90819	3.78641	1	15
2.09605	5.02913	1	16
2.39266	4.71845	1	17
2.39266	5.8835	1	18
2.49153	5.1068	1	19
2.70904	4.48544	1	20
2.70904	5.41748	1	21
2.85734	5.72816	1	22
2.85734	4.87379	1	23
3.00565	5.96116	1	24
2.99576	4.64078	1	25
3.14407	4.64078	1	26
3.16384	5.80583	1	27
3.30226	4.79612	1	28
3.30226	5.96116	1	29
