****			
FIGNO: OTC427			
XPROP: P (uniaxial)			
XUNIT: kbar			
YPROP: Tc			
YUNIT: K			
"PPROP: 1  H//a+c(inplane),  2 H/n a+c(inplane),  3 H//b (interplane)"			
PUNIT:			
SAMPLE: beta-(BDA-TTP)2SbF6			
****			

XDATA	YDATA	PDATA	NUMBER
0.0 	7.18 	1	1
0.5 	7.14 	1	2
1.0 	7.20 	1	3
1.5 	7.33 	1	4
2.0 	7.40 	1	5
2.5 	7.50 	1	6
3.0 	7.52 	1	7
3.5 	7.53 	1	8
4.0 	7.38 	1	9
4.5 	7.05 	1	10
5.0 	6.69 	1	11
5.5 	5.98 	1	12
6.0 	5.27 	1	13
0.0 	7.43 	2	1
0.5 	7.37 	2	2
1.0 	7.29 	2	3
1.5 	7.35 	2	4
2.0 	7.23 	2	5
2.5 	7.31 	2	6
3.0 	6.83 	2	7
3.5 	6.16 	2	8
4.0 	5.60 	2	9
4.5 	4.72 	2	10
5.0 	4.03 	2	11
5.5 	3.34 	2	12
0.0 	7.32 	3	1
0.5 	7.83 	3	2
1.0 	7.85 	3	3
1.5 	7.81 	3	4
2.0 	7.81 	3	5
2.5 	7.79 	3	6
3.0 	7.71 	3	7
3.5 	7.39 	3	8
4.0 	7.06 	3	9
4.5 	6.42 	3	10
5.0 	5.81 	3	11
