----------
FIGNO: RES5294
XPROP: T
XUNIT: K
YPROP: RESab
YUNIT: mOhmcm
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
72.515	.011	1	1
73.529	.008	1	1
78.87	.03	2	1
79.141	.03	2	1
76.196	.011	1	2
77.206	.008	1	2
79.607	.047	2	2
79.141	.047	2	2
75.735	.025	1	3
76.196	.039	1	3
80.614	.059	2	3
79.607	.059	2	3
77.669	.078	1	4
79.877	.063	2	4
78.677	.036	1	4
79.607	.064	2	4
76.196	.094	1	5
80.614	.066	2	5
79.607	.067	2	5
78.677	.074	1	5
76.933	.111	1	6
77.941	.097	1	6
79.607	.071	2	6
80.614	.07	2	6
78.405	.128	1	7
78.677	.119	1	7
81.35	.075	2	7
80.344	.075	2	7
78.677	.135	1	8
79.141	.156	1	8
81.35	.077	2	8
80.344	.077	2	8
76.196	.217	1	9
81.35	.078	2	9
81.081	.079	2	9
79.412	.152	1	9
77.206	.212	1	10
77.669	.278	1	10
81.081	.082	2	10
81.35	.081	2	10
78.405	.3	1	11
78.677	.273	1	11
81.35	.083	2	11
81.081	.083	2	11
78.677	.301	1	12
79.141	.322	1	12
82.086	.084	2	12
81.081	.085	2	12
79.141	.344	1	13
82.822	.085	2	13
81.081	.086	2	13
79.412	.323	1	13
79.141	.372	1	14
80.147	.35	1	14
81.818	.088	2	14
82.822	.088	2	14
80.147	.372	1	15
80.614	.394	1	15
83.558	.09	2	15
82.555	.09	2	15
81.618	.394	1	16
82.555	.091	2	16
85.031	.091	2	16
82.822	.417	1	16
83.088	.411	1	17
84.029	.093	2	17
85.767	.093	2	17
84.294	.433	1	17
84.559	.433	1	18
85.767	.456	1	18
87.239	.094	2	18
86.241	.094	2	18
86.765	.449	1	19
89.448	.093	2	19
88.712	.478	1	19
87.715	.093	2	19
87.5	.466	1	20
89.926	.091	2	20
91.656	.091	2	20
90.92	.5	1	20
89.189	.089	2	21
90.441	.488	1	21
93.129	.089	2	21
92.393	.522	1	21
91.912	.505	1	22
94.601	.088	2	22
92.138	.089	2	22
95.337	.528	1	22
89.448	.091	2	23
96.074	.55	1	23
94.349	.087	2	23
94.853	.516	1	23
90.92	.089	2	24
96.323	.549	1	24
99.018	.544	1	24
95.086	.085	2	24
96.074	.087	2	25
97.546	.567	1	25
98.529	.56	1	25
98.034	.084	2	25
98.282	.085	2	26
100	.571	1	26
100.983	.082	2	26
100.491	.578	1	26
96.074	.084	2	27
102.699	.589	1	27
101.72	.08	2	27
102.206	.587	1	27
95.337	.086	2	28
103.931	.08	2	28
105.147	.604	1	28
104.908	.6	1	28
99.018	.084	2	29
107.853	.611	1	29
107.353	.615	1	29
103.931	.078	2	29
100.491	.082	2	30
107.617	.078	2	30
108.088	.631	1	30
107.853	.622	1	30
102.699	.081	2	31
111.029	.642	1	31
110.798	.639	1	31
105.405	.077	2	31
101.227	.081	2	32
113.742	.65	1	32
113.235	.653	1	32
108.354	.075	2	32
101.963	.079	2	33
116.176	.67	1	33
115.215	.667	1	33
108.354	.074	2	33
105.644	.079	2	34
119.118	.676	1	34
118.16	.672	1	34
109.828	.072	2	34
104.908	.077	2	35
111.302	.071	2	35
122.059	.692	1	35
119.632	.689	1	35
108.589	.077	2	36
111.302	.07	2	36
122.794	.714	1	36
122.577	.689	1	36
106.38	.076	2	37
114.988	.07	2	37
127.206	.72	1	37
122.577	.706	1	37
109.325	.075	2	38
129.412	.736	1	38
125.521	.706	1	38
115.725	.069	2	38
107.853	.074	2	39
117.199	.068	2	39
127.73	.722	1	39
133.088	.747	1	39
110.061	.072	2	40
120.147	.067	2	40
136.029	.753	1	40
129.202	.711	1	40
111.534	.071	2	41
123.833	.065	2	41
137.5	.786	1	41
129.939	.728	1	41
113.006	.07	2	42
141.912	.769	1	42
132.883	.733	1	42
123.096	.064	2	42
116.687	.069	2	43
127.518	.064	2	43
143.382	.802	1	43
132.883	.756	1	43
118.16	.067	2	44
126.044	.063	2	44
147.059	.786	1	44
135.828	.739	1	44
121.104	.066	2	45
128.993	.062	2	45
148.529	.813	1	45
138.037	.783	1	45
124.049	.065	2	46
131.204	.061	2	46
149.265	.83	1	46
140.982	.772	1	46
124.049	.063	2	47
143.19	.8	1	47
152.941	.797	1	47
133.415	.06	2	47
121.84	.064	2	48
154.412	.836	1	48
146.135	.783	1	48
136.364	.059	2	48
127.73	.063	2	49
137.101	.057	2	49
146.871	.8	1	49
158.824	.852	1	49
126.258	.062	2	50
140.786	.057	2	50
163.235	.874	1	50
149.08	.811	1	50
129.939	.062	2	51
138.575	.054	2	51
166.912	.88	1	51
150.552	.822	1	51
131.411	.06	2	52
170.588	.896	1	52
153.497	.794	1	52
142.26	.056	2	52
133.62	.059	2	53
145.209	.055	2	53
155.706	.828	1	53
174.265	.924	1	53
137.301	.058	2	54
142.998	.054	2	54
175	.907	1	54
160.123	.839	1	54
137.301	.056	2	55
148.157	.054	2	55
177.941	.924	1	55
163.804	.872	1	55
141.718	.056	2	56
181.618	.924	1	56
167.485	.872	1	56
147.42	.052	2	56
138.773	.053	2	57
185.294	.94	1	57
171.166	.889	1	57
152.58	.052	2	57
141.718	.054	2	58
156.265	.051	2	58
174.11	.906	1	58
189.706	.957	1	58
145.399	.055	2	59
177.055	.911	1	59
188.971	.973	1	59
157.002	.05	2	59
143.19	.053	2	60
192.647	.99	1	60
180.736	.922	1	60
160.688	.049	2	60
147.607	.053	2	61
194.853	.984	1	61
183.681	.928	1	61
162.899	.05	2	61
149.08	.051	2	62
197.794	.995	1	62
187.362	.939	1	62
164.373	.048	2	62
153.497	.051	2	63
166.585	.048	2	63
191.043	.956	1	63
200	1.012	1	63
156.442	.05	2	64
169.533	.046	2	64
203.676	1.012	1	64
190.307	.972	1	64
156.442	.048	2	65
171.744	.047	2	65
207.353	1.023	1	65
193.252	.978	1	65
161.595	.049	2	66
211.029	1.04	1	66
197.669	.967	1	66
174.693	.046	2	66
163.804	.047	2	67
177.641	.045	2	67
199.141	.994	1	67
214.706	1.051	1	67
168.221	.048	2	68
179.115	.044	2	68
217.647	1.067	1	68
202.086	1.006	1	68
171.166	.045	2	69
181.327	.045	2	69
220.588	1.051	1	69
205.767	1.011	1	69
174.11	.046	2	70
221.324	1.073	1	70
208.712	1.006	1	70
183.538	.046	2	70
174.847	.045	2	71
183.538	.044	2	71
210.92	1.022	1	71
225	1.1	1	71
179.264	.044	2	72
187.224	.043	2	72
230.147	1.056	1	72
213.865	1.039	1	72
182.209	.045	2	73
227.941	1.1	1	73
187.961	.044	2	73
216.81	1.05	1	73
184.417	.045	2	74
231.618	1.1	1	74
220.491	1.044	1	74
190.909	.043	2	74
183.681	.043	2	75
195.332	.043	2	75
222.699	1.061	1	75
234.559	1.128	1	75
187.362	.042	2	76
199.017	.044	2	76
237.5	1.089	1	76
224.908	1.089	1	76
188.834	.043	2	77
198.28	.042	2	77
241.176	1.117	1	77
227.853	1.078	1	77
193.252	.042	2	78
244.853	1.128	1	78
228.589	1.094	1	78
201.966	.042	2	78
197.669	.041	2	79
203.44	.041	2	79
230.798	1.05	1	79
249.265	1.128	1	79
194.724	.041	2	80
206.388	.042	2	80
252.206	1.133	1	80
232.27	1.094	1	80
196.933	.042	2	81
210.074	.041	2	81
256.618	1.155	1	81
234.479	1.117	1	81
199.877	.043	2	82
261.029	1.155	1	82
238.16	1.078	1	82
212.285	.042	2	82
202.086	.041	2	83
214.496	.04	2	83
240.368	1.1	1	83
265.441	1.188	1	83
204.294	.04	2	84
212.285	.039	2	84
267.647	1.188	1	84
242.577	1.094	1	84
205.031	.042	2	85
215.971	.039	2	85
271.324	1.222	1	85
243.313	1.111	1	85
207.975	.041	2	86
274.265	1.2	1	86
246.994	1.117	1	86
218.919	.037	2	86
210.92	.039	2	87
216.708	.042	2	87
250.675	1.117	1	87
276.471	1.2	1	87
211.656	.041	2	88
219.656	.041	2	88
278.676	1.238	1	88
253.62	1.122	1	88
214.601	.04	2	89
222.604	.04	2	89
281.618	1.222	1	89
257.301	1.144	1	89
217.546	.041	2	90
283.088	1.238	1	90
259.509	1.139	1	90
227.027	.04	2	90
213.129	.038	2	91
287.5	1.21	1	91
260.982	1.15	1	91
230.713	.038	2	91
216.81	.038	2	92
232.187	.04	2	92
264.663	1.172	1	92
289.706	1.249	1	92
220.491	.037	2	93
293.382	1.249	1	93
266.135	1.189	1	93
235.135	.038	2	93
221.227	.04	2	94
294.853	1.271	1	94
269.08	1.172	1	94
232.924	.037	2	94
224.172	.039	2	95
299.265	1.255	1	95
272.025	1.206	1	95
238.821	.039	2	95
227.853	.04	2	96
275.706	1.183	1	96
242.506	.038	2	96
228.589	.038	2	97
246.929	.037	2	97
277.178	1.189	1	97
233.006	.037	2	98
247.666	.04	2	98
279.386	1.222	1	98
231.534	.039	2	99
250.614	.038	2	99
281.595	1.217	1	99
234.479	.038	2	100
284.54	1.217	1	100
252.826	.039	2	100
238.16	.038	2	101
287.485	1.189	1	101
256.511	.037	2	101
241.84	.037	2	102
258.722	.036	2	102
290.429	1.239	1	102
246.258	.037	2	103
293.374	1.228	1	103
260.197	.037	2	103
246.994	.039	2	104
296.319	1.261	1	104
262.408	.04	2	104
250.675	.038	2	105
300.736	1.244	1	105
266.83	.039	2	105
