****			
FIGNO:RH150594			
XPROP:T			
XUNIT:K			
YPROP:RH			
YUNIT:E-3 cm3/C			
PPROP:			
PUNIT:			

****			
xdata	ydata	pdata	number
3.03 	-0.111 	1	1
6.06 	-0.111 	1	2
9.09 	-0.442 	1	3
9.09 	-0.627 	1	4
9.09 	-0.811 	1	5
13.64 	-0.959 	1	6
15.15 	-1.180 	1	7
16.67 	-1.512 	1	8
16.67 	-1.806 	1	9
16.67 	-2.839 	1	10
18.18 	-3.244 	1	11
18.18 	-3.871 	1	12
19.70 	-5.198 	1	13
21.21 	-5.567 	1	14
21.21 	-5.899 	1	15
22.73 	-6.230 	1	16
28.79 	-6.341 	1	17
33.33 	-6.230 	1	18
31.82 	-6.046 	1	19
40.91 	-6.046 	1	20
46.97 	-5.899 	1	21
46.97 	-6.157 	1	22
53.03 	-6.120 	1	23
63.64 	-6.046 	1	24
63.64 	-5.788 	1	25
69.70 	-5.604 	1	26
78.79 	-5.641 	1	27
77.27 	-5.899 	1	28
83.33 	-5.825 	1	29
90.91 	-5.751 	1	30
89.39 	-5.456 	1	31
100.00 	-5.456 	1	32
106.06 	-5.272 	1	33
112.12 	-5.346 	1	34
103.03 	-5.641 	1	35
110.61 	-5.641 	1	36
118.18 	-5.493 	1	37
118.18 	-5.604 	1	38
124.24 	-5.309 	1	39
131.82 	-5.272 	1	40
133.33 	-5.567 	1	41
143.94 	-5.456 	1	42
150.00 	-5.456 	1	43
151.52 	-5.309 	1	44
142.42 	-5.051 	1	45
148.49 	-5.088 	1	46
157.58 	-4.977 	1	47
154.55 	-4.756 	1	48
160.61 	-4.608 	1	49
169.70 	-4.608 	1	50
163.64 	-4.940 	1	51
168.18 	-4.866 	1	52
166.67 	-5.161 	1	53
174.24 	-4.756 	1	54
180.30 	-4.719 	1	55
180.30 	-4.498 	1	56
183.33 	-4.350 	1	57
184.85 	-4.203 	1	58
193.94 	-4.203 	1	59
187.88 	-4.535 	1	60
196.97 	-4.498 	1	61
203.03 	-4.461 	1	62
201.52 	-4.055 	1	63
204.55 	-4.166 	1	64
210.61 	-4.313 	1	65
215.15 	-4.166 	1	66
216.67 	-3.982 	1	67
216.67 	-3.834 	1	68
221.21 	-4.055 	1	69
227.27 	-4.092 	1	70
231.82 	-3.797 	1	71
233.33 	-3.650 	1	72
236.36 	-3.650 	1	73
245.46 	-3.613 	1	74
251.52 	-3.760 	1	75
236.36 	-4.055 	1	76
242.42 	-3.945 	1	77
246.97 	-3.945 	1	78
254.55 	-3.797 	1	79
260.61 	-3.650 	1	80
263.64 	-3.650 	1	81
274.24 	-3.613 	1	82
266.67 	-3.945 	1	83
266.67 	-4.055 	1	84
272.73 	-3.908 	1	85
281.82 	-4.018 	1	86
284.85 	-4.018 	1	87
287.88 	-3.945 	1	88
284.85 	-3.760 	1	89
281.82 	-3.539 	1	90
287.88 	-3.613 	1	91
293.94 	-3.724 	1	92
295.46 	-3.539 	1	93
296.97 	-3.429 	1	94
301.52 	-3.355 	1	95
296.97 	-3.797 	1	96
