****			
FIGNO:RH150700			
XPROP:T			
XUNIT:K			
YPROP:RH			
YUNIT:E-9 m3/C			
PPROP:F-content			
PUNIT:x in SmO1-xFxFeAs			

****			
xdata	ydata	pdata	number
10.0 	-144.16 	0	1
30.1 	-127.27 	0	2
50.2 	-104.58 	0	3
59.6 	-90.85 	0	4
69.6 	-77.13 	0	5
80.4 	-62.87 	0	6
89.7 	-49.15 	0	7
99.8 	-37.54 	0	8
109.8 	-26.45 	0	9
119.9 	-17.48 	0	10
129.2 	-7.45 	0	11
139.2 	-3.75 	0	12
149.3 	-1.64 	0	13
159.3 	-2.17 	0	14
170.1 	-1.11 	0	15
180.1 	-1.11 	0	16
189.5 	-1.11 	0	17
199.5 	-1.11 	0	18
219.6 	-0.59 	0	19
239.0 	-1.11 	0	20
259.1 	-1.11 	0	21
279.2 	-0.59 	0	22
299.3 	-0.59 	0	23
10.0 	-73.43 	0.05	1
30.1 	-62.35 	0.05	2
50.2 	-51.26 	0.05	3
70.3 	-40.70 	0.05	4
90.4 	-29.62 	0.05	5
99.8 	-23.28 	0.05	6
109.8 	-15.37 	0.05	7
119.9 	-11.67 	0.05	8
129.2 	-8.50 	0.05	9
140.0 	-6.92 	0.05	10
149.3 	-6.39 	0.05	11
159.3 	-5.34 	0.05	12
170.8 	-4.28 	0.05	13
179.4 	-3.23 	0.05	14
189.5 	-2.70 	0.05	15
199.5 	-2.70 	0.05	16
210.3 	-2.17 	0.05	17
220.3 	-1.64 	0.05	18
229.7 	-1.64 	0.05	19
250.5 	-2.17 	0.05	20
270.6 	-1.64 	0.05	21
290.0 	-1.11 	0.05	22
10.0 	-61.29 	0.1	1
29.4 	-43.87 	0.1	2
49.5 	-30.15 	0.1	3
69.6 	-21.70 	0.1	4
89.0 	-13.78 	0.1	5
99.8 	-11.14 	0.1	6
109.1 	-9.03 	0.1	7
119.9 	-7.45 	0.1	8
129.9 	-6.39 	0.1	9
140.0 	-5.87 	0.1	10
149.3 	-5.34 	0.1	11
158.6 	-4.28 	0.1	12
170.1 	-4.28 	0.1	13
180.9 	-2.70 	0.1	14
190.2 	-2.17 	0.1	15
200.2 	-1.64 	0.1	16
210.3 	-2.17 	0.1	17
229.7 	-1.64 	0.1	18
249.8 	-1.64 	0.1	19
270.6 	-1.11 	0.1	20
290.0 	-1.11 	0.1	21
