****			
FIGNO: RH152177			
XPROP: T			
XUNIT: K			
YPROP: RH			
YUNIT: E-9 m3/C			
PPROP: Ru-content			
PUNIT:  X  IN Sm(Fe1-xRux)AsO0.85F0.15			
SAMPLE: Sm(Fe1-xRux)AsO0.85F0.15			
****			

XDATA	YDATA	PDATA	NUMBER
59.8 	-4.48 	0	1
69.6 	-4.51 	0	2
90.1 	-4.52 	0	3
100.2 	-4.51 	0	4
120.0 	-4.45 	0	5
140.2 	-4.32 	0	6
160.0 	-4.08 	0	7
179.8 	-3.92 	0	8
210.1 	-3.67 	0	9
240.0 	-3.41 	0	10
57.1 	-7.60 	0.05	1
80.3 	-6.21 	0.05	2
99.8 	-5.39 	0.05	3
149.9 	-3.88 	0.05	4
200.3 	-2.76 	0.05	5
250.1 	-2.06 	0.05	6
56.8 	-5.46 	0.2	1
79.7 	-3.76 	0.2	2
99.8 	-2.94 	0.2	3
149.9 	-2.03 	0.2	4
200.3 	-1.39 	0.2	5
250.1 	-0.91 	0.2	6
56.8 	-1.82 	0.36	1
80.3 	-1.76 	0.36	2
100.2 	-1.57 	0.36	3
149.9 	-1.38 	0.36	4
200.0 	-1.20 	0.36	5
250.1 	-1.07 	0.36	6
