----------
FIGNO: RH2869
XPROP: T
XUNIT: K
YPROP: RH
YUNIT: E-9 M3/C
PPROP: N
PUNIT: NUMBER

----------
xdata	ydata	pdata	number
1.913	8.515	1	1
6.376	14.848	2	1
22.954	12.075	4	1
22.954	10.351	3	1
54.777	3.593	4	1
3.188	8.216	1	2
23.592	11.7	4	2
59.873	2.778	4	2
23.592	10.127	3	2
11.477	13.574	2	2
7.651	7.991	1	3
29.331	9.789	3	3
70.064	1.593	4	3
24.867	11.213	4	3
19.129	12.6	2	3
10.839	7.466	1	4
78.981	.407	4	4
35.069	8.515	3	4
16.578	11.888	2	4
19.766	10.801	4	4
15.303	7.129	1	5
89.172	.333	4	5
47.184	7.766	3	5
20.404	10.201	2	5
24.867	9.789	4	5
19.129	6.867	1	6
28.055	9.527	4	6
30.606	8.103	2	6
98.089	1.037	4	6
55.473	7.241	3	6
21.041	6.754	1	7
29.968	8.703	4	7
57.386	7.166	3	7
104.459	1.111	4	7
45.271	6.792	2	7
22.954	6.642	1	8
31.881	7.803	4	8
93.73	4.131	2	8
80.34	5.742	3	8
114.65	1.482	4	8
26.142	6.567	1	9
105.207	3.607	2	9
105.207	4.543	3	9
37.62	6.379	4	9
121.019	1.37	4	9
26.78	6.342	1	10
140.276	3.082	2	10
43.358	4.993	4	10
124.841	1.37	4	10
125.611	3.869	3	10
29.968	6.267	1	11
167.694	2.67	2	11
49.097	4.468	4	11
150.478	3.307	3	11
136.943	1.593	4	11
31.243	6.117	1	12
188.735	2.183	2	12
165.143	3.194	3	12
146.497	1.518	4	12
36.982	5.817	1	13
152.866	1.444	4	13
36.982	5.817	1	13
152.866	1.444	4	13
180.446	3.045	3	13
180.446	3.045	3	13
47.184	5.218	1	14
47.184	5.218	1	14
167.516	1.333	4	14
167.516	1.333	4	14
200.85	2.82	3	14
200.85	2.82	3	14
50.372	4.955	1	15
184.713	.926	4	15
222.529	2.782	3	15
222.529	2.782	3	15
184.713	.926	4	15
50.372	4.955	1	15
56.111	4.768	1	16
237.832	2.707	3	16
237.832	2.707	3	16
187.898	.852	4	16
187.898	.852	4	16
56.111	4.768	1	16
79.702	3.719	1	17
79.702	3.719	1	17
206.369	.593	4	17
255.685	2.707	3	17
255.685	2.707	3	17
206.369	.593	4	17
79.702	3.607	1	18
273.539	2.707	3	18
273.539	2.707	3	18
79.702	3.607	1	18
221.656	.259	4	18
221.656	.259	4	18
91.817	3.269	1	19
91.817	3.269	1	19
226.115	.296	4	19
283.741	2.707	3	19
283.741	2.707	3	19
226.115	.296	4	19
104.57	2.857	1	20
104.57	2.857	1	20
105.207	2.97	1	21
105.207	2.97	1	21
125.611	2.632	1	22
125.611	2.632	1	22
124.973	2.557	1	23
144.74	2.295	1	24
167.694	2.145	1	25
185.547	2.033	1	26
203.401	1.77	1	27
215.515	1.92	1	28
223.167	1.696	1	29
244.208	1.658	1	30
256.961	1.883	1	31
262.699	1.733	1	32
281.19	1.696	1	33
