----------
FIGNO: RH3202
XPROP: T
XUNIT: K
YPROP: RH
YUNIT: E-9M3/C
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
41.053	12.176	1	1
47.368	11.709	1	2
57.895	11.349	1	3
64.912	11.025	1	4
73.333	10.773	1	5
77.544	10.594	1	6
82.456	10.486	1	7
88.772	10.27	1	8
92.983	10.27	1	9
97.895	10.126	1	10
105.614	10.018	1	11
111.228	9.91	1	12
116.842	9.766	1	13
116.842	9.766	1	13
122.456	9.694	1	14
122.456	9.694	1	14
128.772	9.658	1	15
128.772	9.658	1	15
136.491	9.586	1	16
136.491	9.586	1	16
144.912	9.514	1	17
144.912	9.514	1	17
151.93	9.443	1	18
151.93	9.443	1	18
158.947	9.37	1	19
158.947	9.37	1	19
165.965	9.299	1	20
165.965	9.299	1	20
172.982	9.227	1	21
172.982	9.227	1	21
178.596	9.155	1	22
178.596	9.155	1	22
185.614	9.083	1	23
193.333	9.011	1	24
199.649	9.011	1	25
206.667	8.939	1	26
212.982	8.867	1	27
220	8.759	1	28
229.123	8.651	1	29
235.439	8.543	1	30
244.561	8.435	1	31
251.579	8.363	1	32
259.298	8.291	1	33
266.316	8.219	1	34
274.035	8.219	1	35
