----------
FIGNO: RH3337
XPROP: T
XUNIT: K
YPROP: RH
YUNIT: E-9 M3/C
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
12.791	.197	1	1
17.442	.365	1	2
23.643	.61	1	3
30.62	.807	1	4
36.047	.993	1	5
39.922	1.148	1	6
45.349	1.232	1	7
51.55	1.303	1	8
56.202	1.357	1	9
60.853	1.399	1	10
66.279	1.435	1	11
71.705	1.477	1	12
81.783	1.537	1	13
91.861	1.602	1	14
112.016	1.632	1	15
132.171	1.638	1	16
142.248	1.608	1	17
152.326	1.596	1	18
162.403	1.573	1	19
171.705	1.56	1	20
192.636	1.519	1	21
212.791	1.477	1	22
222.868	1.453	1	23
232.171	1.447	1	24
242.248	1.441	1	25
251.55	1.435	1	26
