---------			
FIGNO:RH34146			
XPROP:T			
XUNIT:K			
YPROP:RH			
YUNIT:E-9 m3/C			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
30	9.4	1	1
41.6	9.4	1	2
60.7	9.69	1	3
70.2	9.69	1	4
80.5	9.69	1	5
90.7	9.83	1	6
100.9	9.76	1	7
110.5	9.97	1	8
120.7	10.11	1	9
129.5	10.18	1	10
140.5	10.25	1	11
149.3	10.32	1	12
160.2	10.25	1	13
169.1	10.25	1	14
180	10.25	1	15
190.2	10.04	1	16
199.1	9.97	1	17
210	9.9	1	18
220.2	9.69	1	19
229.8	9.55	1	20
239.3	9.26	1	21
248.9	9.12	1	22
259.8	8.91	1	23
270	8.63	1	24
279.5	8.34	1	25
289.8	8.13	1	26
298.6	7.78	1	27
