---------			
FIGNO:RH40668			
XPROP:T			
XUNIT:K			
YPROP:RH			
YUNIT:E-9  m3/C			
PPROP:			
PUNIT:			
---------			
xdata	ydata	pdata	number
67.8	0.02	1	1
70.1	0.16	1	2
72.5	0.41	1	3
74.3	0.69	1	4
76	0.89	1	5
78.4	1.02	1	6
80.2	1.08	1	7
82.5	1.11	1	8
84.9	1.15	1	9
87.2	1.17	1	10
89.6	1.18	1	11
91.9	1.17	1	12
94.3	1.17	1	13
97.2	1.17	1	14
99	1.16	1	15
103.7	1.14	1	16
108.4	1.12	1	17
113.8	1.1	1	18
119.1	1.09	1	19
123.8	1.07	1	20
129.1	1.05	1	21
133.8	1.03	1	22
139.1	1.01	1	23
143.8	1	1	24
149.1	0.99	1	25
154.4	0.97	1	26
158.5	0.95	1	27
163.9	0.94	1	28
168.6	0.92	1	29
173.9	0.92	1	30
178.6	0.9	1	31
184.5	0.88	1	32
189.2	0.87	1	33
193.9	0.86	1	34
199.2	0.85	1	35
203.9	0.83	1	36
209.8	0.83	1	37
213.9	0.82	1	38
218.7	0.8	1	39
224	0.79	1	40
229.3	0.79	1	41
234	0.78	1	42
239.3	0.78	1	43
244	0.76	1	44
249.3	0.75	1	45
254.6	0.75	1	46
259.3	0.74	1	47
264	0.74	1	48
268.8	0.73	1	49
274.1	0.72	1	50
279.4	0.73	1	51
284.1	0.72	1	52
289.4	0.71	1	53
294.1	0.71	1	54
298.8	0.71	1	55
