----------
FIGNO: RH4421
XPROP: T
XUNIT: K
YPROP: 1/RH
YUNIT: arb.unit
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
90.471	1.112	1	1
93.161	1.112	1	2
96.525	1.127	1	3
88.453	1.552	1	4
99.888	1.149	1	5
109.978	1.231	1	6
122.085	1.328	1	7
128.812	1.403	1	8
148.991	1.567	1	9
163.117	1.672	1	10
170.516	1.754	1	11
181.951	1.828	1	12
190.695	1.903	1	13
201.457	2	1	14
210.202	2.075	1	15
231.726	2.209	1	16
237.78	2.269	1	17
241.816	2.284	1	18
249.888	2.328	1	19
257.96	2.358	1	20
260.65	2.366	1	21
264.686	2.373	1	22
271.413	2.41	1	23
284.865	2.425	1	24
295.628	2.493	1	25
