----------
FIGNO: RH4549
XPROP: T
XUNIT: K
YPROP: nH
YUNIT: E+27/m3
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
99.079	2.347	1	1
109.724	2.391	1	2
119.55	2.523	1	3
129.376	2.742	1	4
140.02	2.962	1	5
149.028	3.093	1	6
158.854	3.357	1	7
169.498	3.532	1	8
179.324	3.708	1	9
189.15	3.927	1	10
199.795	4.19	1	11
208.802	4.366	1	12
219.447	4.541	1	13
229.273	4.804	1	14
239.099	4.936	1	15
248.925	5.199	1	16
258.751	5.287	1	17
268.577	5.419	1	18
279.222	5.638	1	19
289.048	5.814	1	20
299.693	6.252	1	21
