----------
FIGNO: RH4939
XPROP: T
XUNIT: K
YPROP: 1/RH
YUNIT: E+8 C/m3
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
285.74	4.928	1	1
270.384	4.64	1	2
256.124	4.388	1	3
242.962	4.353	1	4
227.605	4.137	1	5
214.442	3.993	1	6
204.57	3.993	1	7
194.698	3.849	1	8
183.729	3.777	1	9
173.857	3.741	1	10
163.985	3.705	1	11
154.113	3.633	1	12
145.338	3.525	1	13
132.176	3.453	1	14
119.013	3.453	1	15
105.85	3.345	1	16
97.075	3.345	1	17
87.203	3.345	1	18
83.912	3.273	1	19
80.622	3.237	1	20
