----------
FIGNO: RH6821
XPROP: T
XUNIT: K
YPROP: RH
YUNIT: E-9 m3/C
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
83.381	.817	1	1
90.258	.806	1	2
94.556	.806	1	3
98.854	.794	1	4
103.152	.783	1	5
108.309	.783	1	6
113.467	.738	1	7
117.765	.704	1	8
122.923	.726	1	9
128.94	.715	1	10
139.255	.692	1	11
149.57	.681	1	12
159.885	.624	1	13
169.341	.59	1	14
178.797	.567	1	15
189.112	.556	1	16
194.269	.511	1	17
198.567	.488	1	18
204.585	.499	1	19
213.181	.465	1	20
232.092	.431	1	21
