---------			
FIGNO:RH9311			
XPROP:T			
XUNIT:K			
YPROP:RH			
YUNIT:E-3 cm3/C			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
48	8.14	1	1
54.5	7.3	1	2
56.4	8.44	1	3
53.6	9.05	1	4
61.1	9.05	1	5
63.9	8.97	1	6
67.7	8.67	1	7
71.5	8.29	1	8
75.2	8.37	1	9
80.9	8.52	1	10
74.3	9.13	1	11
78.1	9.43	1	12
83.7	8.9	1	13
85.6	8.67	1	14
89.3	8.59	1	15
94	8.59	1	16
98.7	8.44	1	17
104.4	8.59	1	18
106.3	8.37	1	19
108.2	8.14	1	20
110	7.98	1	21
112.9	8.21	1	22
116.6	8.44	1	23
121.3	8.52	1	24
127.9	8.44	1	25
130.7	8.44	1	26
131.7	8.14	1	27
134.5	7.83	1	28
135.4	8.06	1	29
137.3	8.29	1	30
142	8.29	1	31
143.9	8.14	1	32
145.8	7.83	1	33
148.6	7.91	1	34
150.5	7.91	1	35
153.3	7.68	1	36
156.1	7.53	1	37
156.1	7.38	1	38
158.9	7.76	1	39
160.8	7.83	1	40
165.5	7.83	1	41
168.3	7.68	1	42
172.1	7.45	1	43
174	7	1	44
176.8	6.62	1	45
180.6	6.69	1	46
183.4	6.62	1	47
186.2	6.46	1	48
187.1	6.39	1	49
189	6.69	1	50
192.8	6.77	1	51
196.6	6.16	1	52
201.3	6.08	1	53
204.1	6.46	1	54
206.9	6.31	1	55
209.7	6.31	1	56
213.5	6.08	1	57
217.2	6.01	1	58
221	5.86	1	59
223.8	5.86	1	60
228.5	5.86	1	61
230.4	5.78	1	62
232.3	5.55	1	63
233.2	5.48	1	64
235.1	5.32	1	65
237.9	5.32	1	66
242.6	5.4	1	67
244.5	5.32	1	68
246.4	5.1	1	69
249.2	4.79	1	70
251.1	4.79	1	71
253.9	5.02	1	72
258.6	5.02	1	73
261.4	5.17	1	74
262.4	4.94	1	75
264.3	4.71	1	76
270.8	4.56	1	77
270.8	4.49	1	78
273.7	4.41	1	79
274.6	4.49	1	80
279.3	4.56	1	81
280.3	4.71	1	82
283.1	4.41	1	83
286.8	4.26	1	84
288.7	4.11	1	85
289.7	4.33	1	86
292.5	4.18	1	87
292.5	4.03	1	88
294.4	3.88	1	89
298.1	3.73	1	90
298.1	3.95	1	91
297.2	4.18	1	92
293.4	4.26	1	93
