---------			
FIGNO:RH9614			
XPROP:T			
XUNIT:K			
YPROP:n			
YUNIT:E+21 /cm3			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
49.8	0.732	1	1
59.3	0.732	1	2
70	0.732	1	3
79.5	0.749	1	4
90.2	0.766	1	5
99.7	0.784	1	6
110.4	0.784	1	7
119.9	0.803	1	8
130.6	0.803	1	9
140.1	0.821	1	10
152.2	0.841	1	11
160.3	0.841	1	12
171	0.841	1	13
180.5	0.86	1	14
191.2	0.88	1	15
199.3	0.922	1	16
211.4	0.944	1	17
220.9	0.988	1	18
230.3	1.035	1	19
241.1	1.06	1	20
251.9	1.11	1	21
259.9	1.19	1	22
266.7	1.19	1	23
285.5	1.367	1	24
