---------			
FIGNO:SP105081			
XPROP:T			
XUNIT:K			
YPROP:C			
YUNIT:J/mol.K			
PPROP:			
PUNIT:			
---------			
xdata	ydata	pdata	number
1.89	1.596	1	1
1.89	1.629	1	2
1.95	1.694	1	3
2.08	1.857	1	4
2.16	1.954	1	5
2.23	2.068	1	6
2.31	2.182	1	7
2.4	2.28	1	8
2.46	2.41	1	9
2.53	2.524	1	10
2.63	2.687	1	11
2.72	2.834	1	12
2.8	2.997	1	13
2.91	3.192	1	14
2.99	3.371	1	15
3.1	3.583	1	16
3.16	3.762	1	17
3.29	3.99	1	18
3.37	4.202	1	19
3.48	4.397	1	20
3.56	4.625	1	21
3.65	4.87	1	22
3.73	4.137	1	23
3.84	3.29	1	24
3.99	2.313	1	25
4.18	1.596	1	26
4.37	1.254	1	27
4.6	1.107	1	28
4.77	1.042	1	29
4.84	1.026	1	30
4.92	1.026	1	31
5.03	1.026	1	32
5.07	0.977	1	33
5.14	0.961	1	34
5.18	0.945	1	35
5.22	0.928	1	36
5.26	0.912	1	37
5.35	0.896	1	38
5.41	0.896	1	39
5.52	0.879	1	40
5.58	0.863	1	41
5.69	0.847	1	42
5.88	0.831	1	43
6.05	0.814	1	44
6.3	0.814	1	45
6.47	0.831	1	46
6.68	0.814	1	47
6.94	0.831	1	48
7.09	0.847	1	49
7.34	0.879	1	50
7.49	0.896	1	51
7.68	0.928	1	52
7.85	0.961	1	53
8.04	1.026	1	54
7.26	1	1	55
7.99	1	1	56
8.54	1.14	1	57
9.09	1.27	1	58
9.92	1.47	1	59
10.56	1.67	1	60
11.21	1.81	1	61
11.85	2.01	1	62
12.31	2.14	1	63
12.86	2.34	1	64
13.32	2.54	1	65
13.87	2.67	1	66
14.51	2.94	1	67
15.16	3.21	1	68
15.62	3.41	1	69
16.08	3.68	1	70
16.44	3.88	1	71
16.99	4.14	1	72
17.36	4.35	1	73
17.73	4.55	1	74
18.01	4.68	1	75
18.37	4.88	1	76
18.74	5.08	1	77
19.11	5.21	1	78
19.29	5.35	1	79
19.75	5.62	1	80
20.12	5.95	1	81
20.39	6.22	1	82
20.94	6.48	1	83
21.31	6.82	1	84
21.68	7.09	1	85
22.05	7.35	1	86
22.6	7.75	1	87
22.97	8.16	1	88
23.33	8.42	1	89
23.61	8.69	1	90
23.98	9.03	1	91
24.07	9.23	1	92
24.53	9.56	1	93
25.26	9.89	1	94
25.54	10.36	1	95
25.81	10.7	1	96
26	11.03	1	97
26.27	11.36	1	98
26.64	11.63	1	99
26.92	12.03	1	100
27.28	12.37	1	101
27.65	12.9	1	102
28.02	13.24	1	103
28.39	13.64	1	104
28.57	13.97	1	105
28.94	14.51	1	106
29.3	14.91	1	107
29.67	15.44	1	108
30.04	15.78	1	109
30.41	16.31	1	110
30.68	16.85	1	111
31.05	17.31	1	112
31.42	17.85	1	113
31.88	18.45	1	114
32.15	18.99	1	115
32.61	19.59	1	116
32.98	20.19	1	117
33.35	20.72	1	118
