----------
FIGNO: SP12114
XPROP: T
XUNIT: K
YPROP: C/T
YUNIT: J/mole.K2
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
72.541	1.302	1	1
72.932	1.304	1	2
73.192	1.306	1	3
73.453	1.307	1	4
73.583	1.308	1	5
73.974	1.311	1	6
74.104	1.312	1	7
74.365	1.313	1	8
74.625	1.315	1	9
74.886	1.316	1	10
75.016	1.318	1	11
75.407	1.319	1	12
75.668	1.321	1	13
75.928	1.324	1	14
76.189	1.325	1	15
76.58	1.326	1	16
76.971	1.329	1	17
77.101	1.33	1	18
77.492	1.331	1	19
77.752	1.333	1	20
77.883	1.335	1	21
78.143	1.336	1	22
78.274	1.337	1	23
78.534	1.339	1	24
78.665	1.34	1	25
79.055	1.341	1	26
79.186	1.343	1	27
79.446	1.344	1	28
79.707	1.345	1	29
80.098	1.347	1	30
80.358	1.35	1	31
80.619	1.352	1	32
80.879	1.353	1	33
81.27	1.355	1	34
81.531	1.356	1	35
81.791	1.357	1	36
82.052	1.359	1	37
82.313	1.36	1	38
82.443	1.361	1	39
82.964	1.363	1	40
83.094	1.365	1	41
83.355	1.366	1	42
83.746	1.368	1	43
84.007	1.369	1	44
84.267	1.372	1	45
84.528	1.374	1	46
84.528	1.374	1	47
85.049	1.376	1	48
85.309	1.378	1	49
85.57	1.38	1	50
85.7	1.381	1	51
85.961	1.383	1	52
86.091	1.385	1	53
86.222	1.385	1	54
86.612	1.387	1	55
86.873	1.389	1	56
87.003	1.391	1	57
87.394	1.392	1	58
87.524	1.394	1	59
88.046	1.396	1	60
88.436	1.399	1	61
88.697	1.403	1	62
89.088	1.405	1	63
89.479	1.407	1	64
89.739	1.411	1	65
89.87	1.412	1	66
90.13	1.414	1	67
90.261	1.416	1	68
90.391	1.417	1	69
90.782	1.414	1	70
90.651	1.413	1	71
90.782	1.412	1	72
90.782	1.41	1	73
90.782	1.408	1	74
90.912	1.406	1	75
90.912	1.404	1	76
90.912	1.402	1	77
90.912	1.4	1	78
91.042	1.399	1	79
91.173	1.397	1	80
91.042	1.396	1	81
91.042	1.394	1	82
91.173	1.392	1	83
91.303	1.391	1	84
91.303	1.389	1	85
91.433	1.388	1	86
91.303	1.386	1	87
91.564	1.385	1	88
91.824	1.383	1	89
91.824	1.381	1	90
91.954	1.38	1	91
92.345	1.379	1	92
92.866	1.378	1	93
93.388	1.377	1	94
93.909	1.377	1	95
94.691	1.377	1	96
95.603	1.377	1	97
96.124	1.376	1	98
96.775	1.376	1	99
97.427	1.377	1	100
98.078	1.376	1	101
98.599	1.377	1	102
99.121	1.377	1	103
99.642	1.377	1	104
100.554	1.377	1	105
101.075	1.377	1	106
102.117	1.377	1	107
102.638	1.377	1	108
103.42	1.377	1	109
103.811	1.378	1	110
104.723	1.378	1	111
105.375	1.377	1	112
105.896	1.377	1	113
106.417	1.377	1	114
107.72	1.377	1	115
108.241	1.377	1	116
108.762	1.378	1	117
109.674	1.377	1	118
110.326	1.377	1	119
110.977	1.377	1	120
111.368	1.377	1	121
112.28	1.377	1	122
112.801	1.376	1	123
113.713	1.375	1	124
114.365	1.375	1	125
