----------
FIGNO: SP1404
XPROP: T
XUNIT: K
YPROP: C/T
YUNIT: J/MOLE.K2
PPROP: NUMBER
PUNIT: 

----------
xdata	ydata	pdata	number
37.132	.824	1	1
35.674	.779	1	2
33.244	.692	1	3
31.203	.636	1	4
28.676	.553	1	5
26.44	.466	1	6
24.301	.4	1	7
22.454	.341	1	8
20.802	.289	1	9
19.441	.236	1	10
17.983	.195	1	11
16.525	.157	1	12
15.358	.125	1	13
15.358	.125	1	13
14.192	.101	1	14
14.192	.101	1	14
13.123	.084	1	15
13.123	.084	1	15
12.151	.066	1	16
12.151	.066	1	16
11.276	.056	1	17
11.276	.056	1	17
10.498	.045	1	18
10.498	.045	1	18
9.72	.042	1	19
9.72	.042	1	19
8.846	.038	1	20
8.846	.038	1	20
8.36	.028	1	21
8.36	.028	1	21
7.776	.024	1	22
7.776	.024	1	22
7.29	.021	1	23
6.61	.014	1	24
6.124	.01	1	25
5.444	.01	1	26
5.055	.007	1	27
4.471	.007	1	28
3.985	.004	1	29
3.402	.004	1	30
3.013	.007	1	31
2.527	.007	1	32
2.139	.007	1	33
1.847	.01	1	34
1.75	.017	1	35
