----------
FIGNO: SP1416
XPROP: T2
XUNIT: K2
YPROP: C/T
YUNIT: mJ/mol¥K2
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
2.002	7.713	1	1
3.559	7.892	1	2
4.672	8.072	1	3
5.562	8.251	1	4
6.897	8.431	1	5
8.231	8.789	1	6
9.344	9.327	1	7
10.234	9.507	1	8
10.901	10.224	1	9
12.236	10.583	1	10
13.793	10.942	1	11
15.35	11.3	1	12
14.683	11.121	1	13
16.463	11.659	1	14
17.13	12.018	1	15
18.242	12.556	1	16
18.91	12.915	1	17
19.8	13.094	1	18
20.69	13.274	1	19
21.357	13.812	1	20
22.247	14.35	1	21
22.914	14.17	1	22
23.137	14.529	1	23
24.249	14.529	1	24
24.694	15.067	1	25
25.806	14.709	1	26
26.696	15.426	1	27
28.476	16.323	1	28
29.811	16.502	1	29
30.478	16.861	1	30
31.146	17.399	1	31
32.258	17.578	1	32
33.593	17.937	1	33
34.928	18.296	1	34
36.263	18.834	1	35
37.597	19.91	1	36
38.487	20.09	1	37
40.712	20.628	1	38
41.602	20.807	1	39
42.937	21.166	1	40
43.382	22.78	1	41
44.939	22.601	1	42
46.051	22.96	1	43
47.608	24.036	1	44
49.166	24.215	1	45
50.278	24.395	1	46
53.615	25.471	1	47
54.282	24.933	1	48
54.95	25.83	1	49
56.507	26.009	1	50
57.62	26.906	1	51
57.842	28.7	1	52
59.399	28.341	1	53
61.402	28.879	1	54
63.181	28.7	1	55
64.739	29.596	1	56
66.073	29.058	1	57
66.518	30.852	1	58
68.298	31.031	1	59
69.633	31.031	1	60
69.188	32.287	1	61
71.413	32.108	1	62
72.748	32.108	1	63
72.525	33.363	1	64
74.305	34.081	1	65
74.527	33.543	1	66
77.864	34.081	1	67
78.309	33.363	1	68
79.422	34.978	1	69
81.869	35.695	1	70
83.648	36.951	1	71
85.428	36.413	1	72
84.983	38.744	1	73
87.208	38.565	1	74
87.43	37.489	1	75
89.433	37.668	1	76
90.323	39.282	1	77
91.213	41.076	1	78
92.992	40.179	1	79
94.772	41.614	1	80
96.774	41.256	1	81
96.552	43.229	1	82
98.999	43.229	1	83
98.332	44.843	1	84
