----------
FIGNO: SP1434
XPROP: T
XUNIT: K
YPROP: C
YUNIT: J/MOLE.K
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
.501	.494	1	1
.724	.494	1	2
.891	.713	1	3
1.058	.988	1	4
1.281	1.262	1	5
1.393	1.536	1	6
1.504	1.811	1	7
1.616	2.03	1	8
1.727	2.25	1	9
1.894	2.524	1	10
2.061	2.798	1	11
2.228	3.073	1	12
2.507	3.237	1	13
2.507	3.237	1	13
2.674	3.457	1	14
2.674	3.457	1	14
2.897	3.731	1	15
2.897	3.731	1	15
3.12	3.896	1	16
3.12	3.896	1	16
3.343	4.06	1	17
3.343	4.06	1	17
3.621	4.225	1	18
3.621	4.225	1	18
3.9	4.39	1	19
3.9	4.39	1	19
4.123	4.444	1	20
4.123	4.444	1	20
4.345	4.499	1	21
4.345	4.499	1	21
4.624	4.609	1	22
4.624	4.609	1	22
4.847	4.774	1	23
5.293	4.829	1	24
5.571	4.883	1	25
5.85	4.883	1	26
6.128	4.993	1	27
6.407	5.048	1	28
6.685	5.158	1	29
7.019	5.213	1	30
7.465	5.322	1	31
7.855	5.377	1	32
8.189	5.377	1	33
8.524	5.377	1	34
8.746	5.432	1	35
8.969	5.432	1	36
9.192	5.487	1	37
9.415	5.487	1	38
9.638	5.487	1	39
9.861	5.542	1	40
10.139	5.597	1	41
10.362	5.707	1	42
10.585	5.761	1	43
10.808	5.871	1	44
11.142	5.981	1	45
11.421	6.036	1	46
11.699	6.145	1	47
11.866	6.255	1	48
12.145	6.31	1	49
12.368	6.475	1	50
12.591	6.529	1	51
12.813	6.749	1	52
13.092	6.804	1	53
13.37	7.023	1	54
13.649	7.188	1	55
13.928	7.298	1	56
14.15	7.462	1	57
14.429	7.572	1	58
14.54	7.737	1	59
14.819	7.901	1	60
15.209	8.176	1	61
15.432	8.23	1	62
15.71	8.395	1	63
16.045	8.724	1	64
16.434	9.108	1	65
16.825	9.328	1	66
17.27	9.822	1	67
17.605	10.041	1	68
18.162	10.755	1	69
18.719	11.248	1	70
19.331	11.852	1	71
20.111	12.62	1	72
20.78	13.553	1	73
21.783	14.65	1	74
22.897	16.132	1	75
24.29	17.942	1	76
