---------			
FIGNO:SP1442			
XPROP:T2			
XUNIT:K2			
YPROP:C/T			
YUNIT:mJ/mol.K2			
PPROP:			
PUNIT:			
---------			
xdata	ydata	pdata	number
19.895	442.461	1	1
20.942	411.958	1	2
23.037	387.002	1	3
24.084	366.205	1	4
25.131	331.542	1	5
29.319	292.721	1	6
33.508	256.672	1	7
36.649	220.624	1	8
37.696	198.44	1	9
41.885	184.575	1	10
45.026	170.711	1	11
48.167	161.005	1	12
52.356	154.073	1	13
55.497	144.367	1	14
61.78	136.049	1	15
67.016	127.73	1	16
73.298	120.797	1	17
79.581	115.251	1	18
87.958	109.705	1	19
98.429	108.319	1	20
109.948	108.319	1	21
117.277	109.705	1	22
124.607	112.478	1	23
131.937	113.865	1	24
141.361	118.024	1	25
150.785	118.024	1	26
159.162	122.184	1	27
165.445	124.957	1	28
173.822	130.503	1	29
181.152	137.435	1	30
190.576	140.208	1	31
198.953	147.14	1	32
209.424	152.686	1	33
229.319	166.551	1	34
240.838	174.87	1	35
252.356	183.189	1	36
263.874	194.281	1	37
276.44	201.213	1	38
291.099	213.692	1	39
305.759	223.397	1	40
321.466	234.489	1	41
339.267	248.354	1	42
356.021	263.605	1	43
373.822	271.924	1	44
393.717	295.494	1	45
412.565	309.359	1	46
457.592	344.021	1	47
