----------
FIGNO: SP1472
XPROP: T*T
XUNIT: K**2
YPROP: C/T
YUNIT: MJ/MOL.K**2
PPROP: NUMBER
PUNIT: 

----------
xdata	ydata	pdata	number
1.768	.212	1	1
1.969	.223	1	2
2.503	.218	1	3
2.703	.233	1	4
3.237	.248	1	5
3.57	.269	1	6
3.837	.279	1	7
4.438	.284	1	8
5.039	.299	1	9
5.372	.32	1	10
5.839	.33	1	11
6.24	.346	1	12
6.574	.361	1	13
6.574	.361	1	13
6.907	.376	1	14
6.907	.376	1	14
7.508	.387	1	15
7.508	.387	1	15
8.642	.417	1	16
8.642	.417	1	16
9.31	.438	1	17
9.31	.438	1	17
10.044	.463	1	18
10.044	.463	1	18
10.644	.484	1	19
10.644	.484	1	19
11.445	.504	1	20
11.445	.504	1	20
11.979	.509	1	21
11.979	.509	1	21
12.179	.53	1	22
12.179	.53	1	22
12.78	.55	1	23
13.314	.561	1	24
13.514	.576	1	25
14.248	.597	1	26
14.982	.612	1	27
15.716	.643	1	28
16.451	.668	1	29
17.251	.694	1	30
17.585	.709	1	31
18.119	.725	1	32
18.853	.75	1	33
19.654	.771	1	34
20.521	.806	1	35
21.389	.822	1	36
22.256	.873	1	37
23.124	.899	1	38
23.725	.924	1	39
23.992	.94	1	40
24.993	.975	1	41
25.927	.996	1	42
26.795	1.037	1	43
27.796	1.067	1	44
28.797	1.109	1	45
29.664	1.144	1	46
30.732	1.175	1	47
