----------
FIGNO: SP1477
XPROP: T**2
XUNIT: K**2
YPROP: C/T
YUNIT: MJ/MOLE.K2
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
4.369	11.65	1	1
6.467	15.146	1	2
8.214	18.641	1	3
9.613	22.136	1	4
11.011	25.631	1	5
12.409	29.126	1	6
13.457	32.621	1	7
14.856	34.952	1	8
15.904	39.612	1	9
17.652	43.107	1	10
19.749	47.767	1	11
21.147	52.427	1	12
22.895	55.922	1	13
22.895	55.922	1	13
24.643	59.417	1	14
24.643	59.417	1	14
26.041	64.078	1	15
26.041	64.078	1	15
27.439	68.738	1	16
27.439	68.738	1	16
28.837	71.068	1	17
28.837	71.068	1	17
30.236	75.728	1	18
30.236	75.728	1	18
32.682	82.718	1	19
32.682	82.718	1	19
34.43	87.379	1	20
34.43	87.379	1	20
35.828	93.204	1	21
35.828	93.204	1	21
36.877	95.534	1	22
36.877	95.534	1	22
38.625	100.194	1	23
40.023	103.689	1	24
41.77	108.35	1	25
42.819	111.845	1	26
44.217	116.505	1	27
45.965	120	1	28
47.014	122.33	1	29
48.062	126.99	1	30
50.859	135.146	1	31
51.558	138.641	1	32
52.606	140.971	1	33
54.704	145.631	1	34
58.199	156.117	1	35
58.549	158.447	1	36
62.394	168.932	1	37
63.442	172.427	1	38
66.588	180.583	1	39
69.385	191.068	1	40
70.783	193.398	1	41
74.628	203.883	1	42
76.375	209.709	1	43
83.366	229.515	1	44
84.764	231.845	1	45
91.755	252.816	1	46
95.251	260.971	1	47
100.843	276.117	1	48
107.834	293.592	1	49
110.631	300.583	1	50
