----------
FIGNO: SP1663
XPROP: T*T
XUNIT: K**2
YPROP: C/T
YUNIT: MJ/MOLE.K2
PPROP: NUMBER
PUNIT: 

----------
xdata	ydata	pdata	number
2.888	14.281	1	1
4.693	14.281	1	2
7.942	14.281	1	3
9.747	14.281	1	4
13.357	14.281	1	5
16.968	15.976	1	6
18.773	16.702	1	7
20.217	17.428	1	8
21.661	17.67	1	9
23.466	17.67	1	10
24.91	18.881	1	11
27.076	19.365	1	12
28.881	21.059	1	13
28.881	21.059	1	13
31.408	22.027	1	14
31.408	22.027	1	14
35.018	24.206	1	15
35.018	24.206	1	15
38.989	25.416	1	16
38.989	25.416	1	16
43.321	27.352	1	17
43.321	27.352	1	17
47.292	29.773	1	18
47.292	29.773	1	18
52.347	31.952	1	19
52.347	31.952	1	19
57.401	35.098	1	20
57.401	35.098	1	20
62.455	38.003	1	21
62.455	38.003	1	21
69.314	41.15	1	22
69.314	41.15	1	22
75.09	44.781	1	23
81.588	48.169	1	24
88.087	52.284	1	25
94.946	56.157	1	26
102.888	60.998	1	27
109.747	65.84	1	28
116.245	69.713	1	29
123.105	74.312	1	30
128.881	78.669	1	31
136.462	82.784	1	32
