----------
FIGNO: SP2276
XPROP: TEMP
XUNIT: K2
YPROP: C/T
YUNIT: MJ/GAT.K2
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
7.701	3.305	1	1
9.101	3.185	1	2
10.502	3.093	1	3
13.302	2.987	1	4
16.803	2.907	1	5
19.603	2.841	1	6
23.804	2.788	1	7
29.405	2.748	1	8
35.706	2.748	1	9
41.307	2.722	1	10
48.308	2.735	1	11
57.41	2.762	1	12
64.411	2.788	1	13
64.411	2.788	1	13
71.412	2.828	1	14
71.412	2.828	1	14
78.413	2.881	1	15
78.413	2.881	1	15
86.114	2.934	1	16
86.114	2.934	1	16
95.916	3	1	17
95.916	3	1	17
102.217	3.066	1	18
102.217	3.066	1	18
109.218	3.119	1	19
109.218	3.119	1	19
116.219	3.172	1	20
116.219	3.172	1	20
122.52	3.225	1	21
122.52	3.225	1	21
131.622	3.305	1	22
131.622	3.305	1	22
137.223	3.331	1	23
144.224	3.437	1	24
152.625	3.49	1	25
160.327	3.596	1	26
167.328	3.662	1	27
175.729	3.742	1	28
184.831	3.874	1	29
192.532	3.94	1	30
200.933	4.033	1	31
211.435	4.139	1	32
220.537	4.245	1	33
229.638	4.364	1	34
240.84	4.536	1	35
249.942	4.669	1	36
260.443	4.748	1	37
271.645	4.907	1	38
282.147	5.066	1	39
293.349	5.238	1	40
