----------
FIGNO: SP2352
XPROP: T
XUNIT: K
YPROP: HEAT CAPACITY
YUNIT: J/MOLE.K
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
.542	1.162	1	1
.606	1.29	1	2
.669	1.481	1	3
.669	1.64	1	4
.606	1.799	1	5
.733	1.927	1	6
.733	2.086	1	7
.733	2.341	1	8
.733	2.564	1	9
.861	2.818	1	10
.861	2.946	1	11
.861	3.137	1	12
.861	3.36	1	13
.861	3.36	1	13
.861	3.551	1	14
.861	3.551	1	14
.861	3.774	1	15
.861	3.774	1	15
.924	4.029	1	16
.924	4.029	1	16
.988	4.283	1	17
.988	4.283	1	17
.988	4.474	1	18
.988	4.474	1	18
.988	4.729	1	19
.988	4.729	1	19
1.052	4.952	1	20
1.052	4.952	1	20
1.116	5.239	1	21
1.116	5.239	1	21
1.116	5.494	1	22
1.116	5.494	1	22
1.18	5.685	1	23
1.18	5.876	1	24
1.18	6.035	1	25
1.243	6.194	1	26
1.307	6.354	1	27
1.307	6.481	1	28
1.435	6.576	1	29
1.498	6.545	1	30
1.498	6.449	1	31
1.69	6.354	1	32
1.754	6.258	1	33
1.945	6.067	1	34
2.009	5.908	1	35
2.072	5.844	1	36
2.2	5.717	1	37
2.264	5.589	1	38
2.327	5.462	1	39
2.455	5.303	1	40
2.519	5.143	1	41
2.646	5.016	1	42
2.774	4.825	1	43
2.901	4.666	1	44
3.029	4.474	1	45
3.22	4.283	1	46
3.475	3.997	1	47
3.666	3.774	1	48
3.921	3.551	1	49
4.113	3.328	1	50
4.368	3.073	1	51
4.623	2.882	1	52
4.942	2.691	1	53
5.197	2.532	1	54
5.452	2.341	1	55
5.707	2.213	1	56
6.026	1.99	1	57
6.344	1.863	1	58
6.727	1.736	1	59
7.109	1.576	1	60
7.492	1.449	1	61
7.938	1.353	1	62
8.448	1.226	1	63
8.895	1.162	1	64
9.405	1.099	1	65
9.979	1.035	1	66
10.361	1.035	1	67
10.808	.971	1	68
11.382	1.003	1	69
11.955	1.067	1	70
12.72	1.131	1	71
13.486	1.194	1	72
13.996	1.29	1	73
14.57	1.353	1	74
15.143	1.417	1	75
15.717	1.513	1	76
16.291	1.672	1	77
16.865	1.799	1	78
17.503	2.054	1	79
18.204	2.245	1	80
18.714	2.468	1	81
19.16	2.659	1	82
19.734	2.914	1	83
20.244	3.137	1	84
20.627	3.296	1	85
21.01	3.583	1	86
21.838	3.965	1	87
22.604	4.411	1	88
23.305	4.888	1	89
24.07	5.494	1	90
24.899	6.131	1	91
25.537	6.576	1	92
25.792	6.895	1	93
26.621	7.627	1	94
27.832	8.583	1	95
28.023	8.774	1	96
