----------
FIGNO: SP2921
XPROP: T
XUNIT: K
YPROP: SP
YUNIT: MJ/G K
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
81.538	164.76	0	1
90.017	182.505	0	1
81.654	165.144	0	2
90.057	182.434	0	2
81.808	165.335	0	3
90.097	182.588	0	3
81.962	165.719	0	4
90.144	182.719	0	4
82.115	166.102	0	5
90.198	182.743	0	5
82.269	166.39	0	6
90.231	182.933	0	6
82.423	166.773	0	7
90.271	182.993	0	7
82.538	167.061	0	8
90.325	183.076	0	8
82.654	167.444	0	9
90.365	183.171	0	9
82.808	167.252	0	10
90.412	183.171	0	10
82.885	167.636	0	11
90.459	183.349	0	11
83	168.019	0	12
90.499	183.421	0	12
83.154	167.732	0	13
90.539	183.48	0	13
90.539	183.48	0	13
83.154	167.732	0	13
83.269	168.211	0	14
83.269	168.211	0	14
90.579	183.599	0	14
90.579	183.599	0	14
83.346	168.498	0	15
83.346	168.498	0	15
90.633	183.73	0	15
90.633	183.73	0	15
83.538	168.403	0	16
83.538	168.403	0	16
90.707	183.73	0	16
90.707	183.73	0	16
83.615	168.69	0	17
90.76	183.979	0	17
83.615	168.69	0	17
90.76	183.979	0	17
83.769	168.978	0	18
90.8	184.11	0	18
90.8	184.11	0	18
83.769	168.978	0	18
83.923	169.265	0	19
83.923	169.265	0	19
90.834	184.074	0	19
90.834	184.074	0	19
84.154	169.553	0	20
84.154	169.553	0	20
90.887	184.217	0	20
90.887	184.217	0	20
84.308	169.936	0	21
84.308	169.936	0	21
90.921	184.336	0	21
90.921	184.336	0	21
84.5	170.224	0	22
90.974	184.383	0	22
90.974	184.383	0	22
84.5	170.224	0	22
84.615	170.511	0	23
91.008	184.49	0	23
84.731	170.799	0	24
91.041	184.574	0	24
84.923	170.99	0	25
91.082	184.669	0	25
85.077	171.374	0	26
91.122	184.633	0	26
85.192	171.853	0	27
91.168	184.847	0	27
85.308	172.236	0	28
91.209	184.847	0	28
85.462	172.62	0	29
91.256	184.966	0	29
85.615	172.907	0	30
91.302	185.097	0	30
85.769	173.291	0	31
91.349	185.215	0	31
85.885	173.578	0	32
91.383	185.227	0	32
86.077	173.962	0	33
91.423	185.204	0	33
86.269	174.249	0	34
91.463	185.239	0	34
86.423	174.633	0	35
91.51	185.001	0	35
86.577	175.016	0	36
91.55	184.847	0	36
86.731	175.399	0	37
91.59	184.597	0	37
86.885	175.591	0	38
91.637	184.241	0	38
87.077	175.879	0	39
91.684	184.027	0	39
87.231	176.358	0	40
91.724	183.908	0	40
87.385	176.741	0	41
91.778	183.801	0	41
87.538	177.029	0	42
91.805	183.741	0	42
87.731	177.412	0	43
91.852	183.753	0	43
87.808	177.796	0	44
91.885	183.753	0	44
88	177.987	0	45
91.932	183.777	0	45
88.077	178.371	0	46
91.979	183.801	0	46
88.308	178.658	0	47
92.026	183.777	0	47
88.538	179.233	0	48
92.099	183.955	0	48
88.423	179.137	0	49
92.146	183.944	0	49
88.654	179.712	0	50
92.227	184.276	0	50
88.731	180	0	51
92.267	184.253	0	51
88.885	180.288	0	52
92.314	184.383	0	52
89.038	180.479	0	53
92.361	184.455	0	53
89.192	180.767	0	54
92.407	184.419	0	54
89.308	181.15	0	55
92.434	184.55	0	55
89.462	181.438	0	56
92.481	184.574	0	56
89.654	181.725	0	57
92.521	184.657	0	57
89.769	182.013	0	58
92.561	184.752	0	58
90	182.396	0	59
92.595	184.883	0	59
89.923	182.204	0	60
92.648	185.001	0	60
92.689	185.073	0	61
93.115	185.751	0	61
92.729	185.144	0	62
93.231	186.038	0	62
92.762	185.251	0	63
93.346	186.422	0	63
92.823	185.287	0	64
93.5	186.805	0	64
92.849	185.406	0	65
93.692	187.093	0	65
92.896	185.465	0	66
93.846	187.476	0	66
92.943	185.453	0	67
93.962	187.764	0	67
92.983	185.572	0	68
94.115	188.147	0	68
93.023	185.679	0	69
94.269	188.435	0	69
93.077	185.798	0	70
94.423	188.722	0	70
93.117	185.917	0	71
94.615	189.105	0	71
93.157	186.143	0	72
94.731	189.489	0	72
93.198	186.048	0	73
94.923	189.776	0	73
93.244	186.083	0	74
95.115	190.064	0	74
93.285	186.19	0	75
95.308	190.447	0	75
93.332	186.273	0	76
95.5	190.639	0	76
93.378	186.44	0	77
95.654	191.118	0	77
95.808	191.502	0	78
95.962	191.693	0	79
96.077	191.981	0	80
96.231	192.364	0	81
96.385	192.652	0	82
96.538	192.939	0	83
96.692	193.227	0	84
96.769	193.514	0	85
97	193.898	0	86
96.885	193.898	0	87
97.192	194.185	0	88
97.308	194.473	0	89
97.538	194.856	0	90
97.769	195.24	0	91
97.962	196.006	0	92
98.077	196.198	0	93
97.885	195.623	0	94
97.654	195.144	0	95
