---------			
FIGNO:SP33864			
XPROP:T2			
XUNIT:K2			
YPROP:C/T			
YUNIT:mj/mol.K2			
PPROP:H			
PUNIT:T			

---------			
xdata	ydata	pdata	number
4.21	3.66	0	1
5.02	3.79	0	2
5.83	3.86	0	3
6.8	4.07	0	4
7.93	4.28	0	5
9.22	4.48	0	6
10.52	4.76	0	7
11.81	5.1	0	8
13.27	5.45	0	9
14.72	5.72	0	10
16.34	6.21	0	11
17.96	7.1	0	12
19.9	7.59	0	13
21.68	8	0	14
23.79	8.55	0	15
25.73	9.1	0	16
27.83	9.45	0	17
29.94	10.14	0	18
32.2	10.83	0	19
34.47	11.52	0	20
37.06	12.28	0	21
39.32	12.9	0	22
41.91	13.66	0	23
44.5	14.41	0	24
48.06	15.31	0	25
4.05	4.76	1	1
5.02	5.03	1	2
5.83	5.52	1	3
6.8	5.72	1	4
7.93	5.93	1	5
9.22	6.21	1	6
10.36	6.55	1	7
11.65	6.97	1	8
13.43	7.38	1	9
14.56	7.86	1	10
16.5	8.48	1	11
17.96	8.9	1	12
19.74	9.52	1	13
21.68	10.21	1	14
23.62	10.9	1	15
25.4	11.31	1	16
27.67	12.14	1	17
29.94	12.55	1	18
32.2	13.17	1	19
34.47	13.79	1	20
37.06	14.48	1	21
39.32	15.31	1	22
41.91	16.07	1	23
44.66	17.03	1	24
47.9	18.07	1	25
4.21	5.86	2	1
5.18	6	2	2
5.83	6.41	2	3
6.96	6.62	2	4
8.25	6.83	2	5
9.22	7.03	2	6
10.52	7.24	2	7
11.97	7.66	2	8
13.27	8	2	9
14.89	8.55	2	10
16.34	9.1	2	11
18.12	9.66	2	12
19.74	10.28	2	13
21.68	10.9	2	14
23.62	11.52	2	15
25.57	12	2	16
27.99	12.55	2	17
29.94	13.1	2	18
32.04	13.72	2	19
34.63	14.41	2	20
36.73	15.24	2	21
39.64	15.79	2	22
42.07	16.62	2	23
44.82	17.59	2	24
47.73	18.55	2	25
4.21	8.14	10	1
5.02	8.28	10	2
5.99	8.9	10	3
6.8	8.97	10	4
8.25	9.17	10	5
9.22	9.45	10	6
10.52	9.79	10	7
11.65	10.34	10	8
13.27	10.83	10	9
14.89	11.24	10	10
16.5	11.79	10	11
17.96	12.41	10	12
20.06	13.24	10	13
21.68	13.66	10	14
23.46	14.14	10	15
25.57	14.62	10	16
27.83	15.1	10	17
30.1	15.66	10	18
32.2	16	10	19
34.63	16.62	10	20
37.22	17.38	10	21
39.48	18.07	10	22
42.07	18.97	10	23
44.82	19.79	10	24
47.73	20.62	10	25
