---------			
FIGNO:SP33979			
XPROP:T			
XUNIT:K			
YPROP:C/T			
YUNIT:mJ/f-u.K2			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
1.81	0.027	1	1
1.83	0.031	1	2
1.99	0.06	1	3
2.11	0.056	1	4
2.19	0.072	1	5
2.29	0.079	1	6
2.39	0.069	1	7
2.57	0.074	1	8
2.78	0.089	1	9
2.68	0.094	1	10
2.88	0.105	1	11
3.06	0.129	1	12
3.13	0.129	1	13
3.29	0.16	1	14
3.41	0.171	1	15
3.54	0.197	1	16
3.75	0.196	1	17
3.82	0.215	1	18
3.92	0.219	1	19
4	0.227	1	20
4.18	0.251	1	21
4.33	0.206	1	22
4.48	0.166	1	23
4.66	0.161	1	24
4.89	0.164	1	25
5.07	0.155	1	26
5.27	0.154	1	27
5.5	0.16	1	28
5.73	0.147	1	29
6.01	0.174	1	30
6.22	0.174	1	31
6.47	0.171	1	32
6.73	0.142	1	33
7.06	0.153	1	34
7.29	0.155	1	35
7.59	0.159	1	36
7.9	0.151	1	37
8.2	0.153	1	38
8.56	0.155	1	39
8.87	0.155	1	40
9.25	0.15	1	41
