---------			
FIGNO:SP34475			
XPROP:T			
XUNIT:K			
YPROP:C/T			
YUNIT:mj/mol.K2			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
8.61	385.87	1	1
8.66	389.07	1	2
8.7	391.73	1	3
8.75	397.07	1	4
8.81	400.27	1	5
8.86	404	1	6
8.9	407.2	1	7
8.95	410.4	1	8
9.01	415.2	1	9
9.06	418.4	1	10
9.1	421.6	1	11
9.15	424.8	1	12
9.2	427.47	1	13
9.25	430.13	1	14
9.3	433.33	1	15
9.35	434.93	1	16
9.42	437.07	1	17
9.47	436	1	18
9.5	434.4	1	19
9.55	430.67	1	20
9.6	422.13	1	21
9.66	415.73	1	22
9.7	409.87	1	23
9.77	408.8	1	24
9.82	409.33	1	25
9.87	411.47	1	26
9.9	414.13	1	27
9.95	417.33	1	28
10.01	421.07	1	29
10.06	423.2	1	30
10.1	423.73	1	31
10.15	428.53	1	32
10.19	431.2	1	33
0.56	6.92	1	34
0.77	9.23	1	35
0.99	9.23	1	36
1.14	9.23	1	37
1.2	9.23	1	38
1.33	11.54	1	39
1.45	11.54	1	40
1.57	11.54	1	41
1.7	13.85	1	42
1.82	13.85	1	43
2.04	13.85	1	44
2.16	16.15	1	45
2.28	16.15	1	46
2.47	20.77	1	47
2.72	23.08	1	48
2.93	30	1	49
3.18	36.92	1	50
3.46	43.85	1	51
3.77	53.08	1	52
4.07	66.92	1	53
4.44	83.08	1	54
4.81	103.85	1	55
5.25	129.23	1	56
5.71	159.23	1	57
6.02	182.31	1	58
6.17	198.46	1	59
6.33	205.38	1	60
6.64	233.08	1	61
6.76	240	1	62
7.01	260.77	1	63
7.1	272.31	1	64
7.22	279.23	1	65
7.31	288.46	1	66
7.44	297.69	1	67
7.53	304.62	1	68
7.65	313.85	1	69
7.75	320.77	1	70
7.84	327.69	1	71
7.9	334.62	1	72
8.02	341.54	1	73
8.15	348.46	1	74
8.21	355.38	1	75
8.33	362.31	1	76
8.4	369.23	1	77
8.49	376.15	1	78
8.58	383.08	1	79
8.7	387.69	1	80
8.77	394.62	1	81
8.86	401.54	1	82
8.98	410.77	1	83
9.07	415.38	1	84
9.14	422.31	1	85
9.23	426.92	1	86
9.32	433.85	1	87
9.44	433.85	1	88
9.51	433.85	1	89
9.6	424.62	1	90
9.63	417.69	1	91
9.72	413.08	1	92
9.78	408.46	1	93
9.97	415.38	1	94
10.12	424.62	1	95
10.28	433.85	1	96
10.37	440.77	1	97
10.49	445.38	1	98
10.59	450	1	99
10.68	459.23	1	100
10.86	468.46	1	101
10.96	475.38	1	102
11.11	480	1	103
11.23	489.23	1	104
11.3	493.85	1	105
11.42	500.77	1	106
11.57	507.69	1	107
11.67	514.62	1	108
11.76	519.23	1	109
11.82	521.54	1	110
11.88	526.15	1	111
12.01	533.08	1	112
