---------			
FIGNO:SP34558			
XPROP:T2			
XUNIT:K2			
YPROP:C/T			
YUNIT:mJ/gat.K2			
PPROP:			
PUNIT:			
---------			
xdata	ydata	pdata	number
3.7	0.15	1	1
7.3	0.3	1	2
11	0.42	1	3
11	0.69	1	4
13.4	0.84	1	5
14.7	1.02	1	6
15.9	1.14	1	7
15.9	1.29	1	8
18.3	1.41	1	9
20.8	1.56	1	10
22	1.74	1	11
25.7	1.92	1	12
28.1	2.07	1	13
29.3	2.19	1	14
30.5	2.37	1	15
33	2.55	1	16
35.4	2.7	1	17
36.7	2.85	1	18
39.1	3.03	1	19
41.5	3.18	1	20
41.5	3.36	1	21
44	3.57	1	22
46.4	3.75	1	23
48.9	3.87	1	24
50.1	4.02	1	25
53.8	4.2	1	26
55	4.35	1	27
57.4	4.5	1	28
59.9	4.71	1	29
62.3	4.86	1	30
67.2	5.14	1	31
69.7	5.35	1	32
73.3	5.56	1	33
75.8	5.89	1	34
81.9	6.07	1	35
86.8	6.37	1	36
91.6	6.61	1	37
96.5	6.97	1	38
102.6	7.24	1	39
110	7.6	1	40
114.9	7.96	1	41
121	8.32	1	42
127.1	8.62	1	43
128.3	8.8	1	44
134.4	9.04	1	45
139.3	9.19	1	46
139.3	9.01	1	47
141.8	8.62	1	48
143	7.99	1	49
143	7.78	1	50
146.6	6.94	1	51
149.1	5.89	1	52
152.7	5.38	1	53
158.9	5.23	1	54
162.5	5.26	1	55
167.4	5.29	1	56
173.5	5.35	1	57
179.6	5.41	1	58
185.7	5.5	1	59
194.3	5.68	1	60
200.4	5.71	1	61
210.2	5.92	1	62
218.7	6.04	1	63
226.1	6.16	1	64
233.4	6.22	1	65
237.1	6.31	1	66
245.6	6.43	1	67
253	6.52	1	68
271.3	6.82	1	69
285.9	7.03	1	70
300.6	7.27	1	71
325.1	7.6	1	72
349.5	7.96	1	73
370.3	8.32	1	74
394.7	8.8	1	75
421.6	9.28	1	76
454.6	9.88	1	77
483.9	10.33	1	78
516.9	10.93	1	79
556	11.59	1	80
595.1	12.25	1	81
