----------
FIGNO: SP4514
XPROP: T
XUNIT: K
YPROP: C/T
YUNIT: mj/mole.K
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
63.676	1683.33	1	1
64.315	1685.94	1	2
64.635	1688.54	1	3
64.954	1691.15	1	4
65.274	1693.75	1	5
65.594	1696.35	1	6
65.913	1698.96	1	7
66.552	1701.56	1	8
66.872	1704.17	1	9
67.192	1706.77	1	10
67.511	1709.37	1	11
67.831	1711.98	1	12
68.151	1714.58	1	13
68.47	1717.19	1	14
69.11	1720.66	1	15
69.429	1724.13	1	16
69.749	1726.74	1	17
70.388	1730.21	1	18
70.388	1732.81	1	19
71.347	1736.28	1	20
71.667	1739.76	1	21
72.306	1743.23	1	22
72.945	1747.57	1	23
73.585	1751.04	1	24
74.224	1754.51	1	25
74.863	1757.99	1	26
75.502	1762.33	1	27
76.461	1765.8	1	28
77.1	1769.27	1	29
77.42	1772.74	1	30
78.059	1776.22	1	31
78.699	1778.82	1	32
79.018	1780.56	1	33
79.338	1783.16	1	34
79.977	1785.76	1	35
80.297	1788.37	1	36
81.256	1790.97	1	37
81.575	1792.71	1	38
82.534	1796.18	1	39
83.174	1798.78	1	40
84.132	1801.39	1	41
84.452	1803.99	1	42
85.091	1805.73	1	43
85.411	1807.47	1	44
86.05	1810.07	1	45
87.648	1814.41	1	46
88.288	1817.01	1	47
88.927	1817.88	1	48
89.886	1819.62	1	49
90.845	1821.35	1	50
91.804	1824.83	1	51
93.082	1826.56	1	52
94.041	1829.17	1	53
94.68	1830.03	1	54
95.639	1831.77	1	55
96.918	1832.64	1	56
97.557	1834.37	1	57
98.836	1834.37	1	58
99.475	1836.11	1	59
100.434	1836.98	1	60
101.073	1836.98	1	61
102.352	1837.85	1	62
102.671	1838.72	1	63
103.95	1839.58	1	64
104.909	1841.32	1	65
105.868	1842.19	1	66
106.507	1842.19	1	67
108.105	1843.06	1	68
109.064	1843.06	1	69
110.662	1843.92	1	70
111.941	1842.19	1	71
113.539	1842.19	1	72
114.498	1842.19	1	73
115.776	1840.45	1	74
116.416	1841.32	1	75
118.014	1838.72	1	76
118.333	1838.72	1	77
119.932	1836.11	1	78
121.21	1835.24	1	79
122.169	1835.24	1	80
122.808	1832.64	1	81
123.767	1831.77	1	82
124.406	1830.9	1	83
125.365	1829.17	1	84
126.324	1828.3	1	85
127.922	1825.69	1	86
129.201	1823.09	1	87
130.479	1822.22	1	88
131.758	1822.22	1	89
132.078	1821.35	1	90
132.717	1819.62	1	91
133.995	1817.01	1	92
134.315	1814.41	1	93
134.954	1812.67	1	94
135.594	1810.07	1	95
135.913	1807.47	1	96
136.233	1805.73	1	97
136.872	1804.86	1	98
137.192	1802.26	1	99
137.511	1799.65	1	100
138.79	1798.78	1	101
140.069	1793.58	1	102
140.708	1790.97	1	103
141.667	1787.5	1	104
141.986	1786.63	1	105
142.626	1784.9	1	106
142.945	1783.16	1	107
143.904	1780.56	1	108
144.863	1778.82	1	109
145.183	1777.08	1	110
145.822	1775.35	1	111
146.461	1773.61	1	112
147.74	1770.14	1	113
148.379	1768.4	1	114
149.658	1764.93	1	115
150.297	1763.19	1	116
151.256	1760.59	1	117
152.215	1757.99	1	118
152.854	1756.25	1	119
154.132	1752.78	1	120
154.772	1749.31	1	121
156.05	1746.7	1	122
157.009	1744.1	1	123
157.329	1742.36	1	124
157.968	1739.76	1	125
158.607	1738.89	1	126
159.886	1735.42	1	127
160.845	1732.81	1	128
161.164	1730.21	1	129
162.443	1729.34	1	130
163.082	1725.87	1	131
164.041	1723.26	1	132
164.361	1722.4	1	133
165.32	1719.79	1	134
165.639	1716.32	1	135
166.279	1714.58	1	136
167.237	1711.11	1	137
167.557	1709.37	1	138
168.516	1707.64	1	139
168.836	1705.9	1	140
169.475	1703.3	1	141
170.434	1701.56	1	142
171.073	1698.96	1	143
172.032	1695.49	1	144
173.311	1692.01	1	145
173.95	1690.28	1	146
174.909	1687.67	1	147
175.868	1685.07	1	148
176.507	1681.6	1	149
177.146	1678.12	1	150
178.105	1676.39	1	151
179.384	1671.18	1	152
179.703	1670.31	1	153
180.662	1666.84	1	154
181.301	1665.97	1	155
182.58	1661.63	1	156
183.219	1659.03	1	157
184.178	1656.42	1	158
185.457	1652.08	1	159
185.776	1650.35	1	160
187.055	1646.01	1	161
188.014	1641.67	1	162
188.653	1639.06	1	163
189.612	1635.59	1	164
190.89	1632.12	1	165
191.849	1628.65	1	166
192.169	1626.91	1	167
193.128	1623.44	1	168
194.087	1619.1	1	169
195.046	1616.49	1	170
196.005	1613.02	1	171
196.963	1610.42	1	172
197.603	1607.81	1	173
198.242	1604.34	1	174
199.201	1601.74	1	175
