----------
FIGNO: SP6807
XPROP: T
XUNIT: K
YPROP: C/T
YUNIT: J/MOL.K2
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
75.278	1.485	1	1
76.389	1.488	1	2
77.579	1.492	1	3
78.691	1.495	1	4
79.881	1.498	1	5
80.992	1.502	1	6
82.103	1.506	1	7
83.214	1.511	1	8
84.405	1.515	1	9
85.595	1.518	1	10
86.468	1.522	1	11
87.421	1.524	1	12
88.135	1.526	1	13
88.611	1.53	1	14
89.008	1.532	1	15
89.643	1.53	1	16
89.96	1.533	1	17
90.436	1.532	1	18
90.992	1.53	1	19
91.468	1.522	1	20
91.865	1.511	1	21
92.421	1.5	1	22
92.738	1.497	1	23
93.849	1.492	1	24
94.246	1.49	1	25
94.802	1.488	1	26
95.913	1.487	1	27
96.865	1.486	1	28
97.897	1.484	1	29
98.929	1.483	1	30
100.04	1.482	1	31
100.992	1.48	1	32
101.944	1.48	1	33
102.976	1.478	1	34
104.087	1.476	1	35
