****			
FIGNO:TC150526			
XPROP:Ba-content			
XUNIT:x  inLa2-xBaxCuO4			
YPROP:Tc			
YUNIT:K			
PPROP:			
PUNIT:			

****			
xdata	ydata	pdata	number
0.001 	0.00 	1	1
0.066 	12.81 	1	2
0.080 	20.70 	1	3
0.090 	20.63 	1	4
0.102 	25.70 	1	5
0.099 	12.27 	1	6
0.110 	11.33 	1	7
0.120 	4.06 	1	8
0.124 	3.91 	1	9
0.125 	0.00 	1	10
0.130 	5.94 	1	11
0.139 	18.83 	1	12
0.148 	21.25 	1	13
0.145 	24.84 	1	14
0.150 	23.83 	1	15
0.155 	24.77 	1	16
0.175 	25.70 	1	17
0.180 	19.69 	1	18
0.191 	15.70 	1	19
0.189 	8.28 	1	20
0.199 	9.38 	1	21
0.215 	4.84 	1	22
0.239 	4.06 	1	23
0.250 	0.00 	1	24
