****			
FIGNO:TC150574			
XPROP:P			
XUNIT:GPa			
YPROP:Tc			
YUNIT:K			
PPROP:			
PUNIT:			

****			
xdata	ydata	pdata	number
0.000 	3.289 	1	1
2.701 	5.785 	1	2
2.987 	5.973 	1	3
3.896 	6.698 	1	4
4.494 	7.289 	1	5
4.831 	7.611 	1	6
5.013 	7.879 	1	7
5.091 	7.987 	1	8
5.766 	8.497 	1	9
5.792 	8.631 	1	10
5.896 	8.550 	1	11
6.208 	8.658 	1	12
6.416 	8.792 	1	13
6.545 	8.685 	1	14
6.675 	8.792 	1	15
6.883 	8.792 	1	16
7.117 	8.792 	1	17
7.481 	8.792 	1	18
7.896 	8.819 	1	19
8.182 	8.819 	1	20
