****			
FIGNO: TC153321			
XPROP: carrier concentration			
XUNIT: E+26 /m3			
YPROP: Tc			
YUNIT: K			
PPROP: Annealing time			
PUNIT: hour			
SAMPLE: Zn-doped In2O3 film			
****			

XDATA	YDATA	PDATA	NUMBER
0.095 	0.000 	1	1
0.211 	0.630 	1	2
0.237 	1.174 	1	3
0.275 	2.495 	1	4
0.265 	2.534 	1	5
0.285 	2.681 	1	6
1.172 	1.554 	1	7
4.429 	0.000 	1	8
5.391 	0.000 	1	9
0.105 	0.000 	4	1
0.115 	0.000 	4	2
0.134 	0.497 	4	3
0.200 	1.671 	4	4
0.209 	2.168 	4	5
0.250 	1.997 	4	6
0.288 	1.725 	4	7
1.855 	0.000 	4	8
