****			
FIGNO: TC154308			
XPROP: P			
XUNIT: GPa			
YPROP: Tc			
YUNIT: K			
PPROP: 			
PUNIT: 			
"sample: optimam-NdFeAs(O,F)"			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.00 	47.31 	run-1	1
0.38 	47.41 	run-1	2
0.63 	47.31 	run-1	3
0.73 	47.13 	run-1	4
0.92 	46.94 	run-1	5
1.10 	46.48 	run-1	6
1.25 	45.93 	run-1	7
1.57 	45.83 	run-1	8
1.78 	45.00 	run-1	9
2.09 	44.54 	run-1	10
2.46 	43.24 	run-1	11
2.58 	42.69 	run-1	12
2.93 	41.94 	run-1	13
3.00 	41.57 	run-1	14
3.48 	40.56 	run-1	15
3.85 	38.61 	run-1	16
4.55 	36.67 	run-1	17
4.95 	34.44 	run-1	18
0.00 	48.06 	run-2	1
2.77 	42.41 	run-2	2
3.41 	40.65 	run-2	3
3.76 	39.26 	run-2	4
3.92 	39.35 	run-2	5
4.16 	38.06 	run-2	6
4.51 	36.02 	run-2	7
4.97 	35.65 	run-2	8
5.35 	34.17 	run-2	9
5.47 	33.33 	run-2	10
5.91 	31.48 	run-2	11
6.34 	30.46 	run-2	12
6.67 	28.61 	run-2	13
6.97 	26.48 	run-2	14
7.65 	25.09 	run-2	15
